# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      
belloc               foil_left              8.312500000000e-01  -4.120048253182e-02  -6.392932526399e-01   2.439741608703e-01   1.601026119403e-01   3.252955079743e-02   9.220574438286e-01  -1.115265392024e-01  -1.115265392024e-01   1.706093458489e-03   3.854094928774e+00   0.000000000000e+00  -3.886620967138e+01   6.343697247566e-01  -3.063228342425e+00   4.243943590756e+05   1.144959553087e-01   5.103673864983e-01   0.000000000000e+00   1.200000000000e-02  -2.012502958345e-02
belloc               foil_left              8.187500000000e-01  -4.000707580922e-02  -6.328549385230e-01   2.354827666741e-01   1.657929104478e-01   2.764523386088e-02   9.220574438286e-01  -1.115265392024e-01  -1.115265392024e-01   1.766730701959e-03   3.764300329029e+00   0.000000000000e+00  -3.889888854256e+01   5.158393701624e-01  -3.124812775032e+00   4.398695563116e+05   1.145979659091e-01   5.012148718251e-01   0.000000000000e+00   1.200000000000e-02  -2.012502958345e-02
belloc               foil_left              8.062500000000e-01  -3.881366908662e-02  -6.264166244061e-01   2.269913724780e-01   1.714832089552e-01   2.276091692433e-02   9.220574438286e-01  -1.115265392024e-01  -1.115265392024e-01   1.827367945429e-03   3.679091005331e+00   0.000000000000e+00  -3.887031866646e+01   3.996430909843e-01  -3.190912667304e+00   4.546741089040e+05   1.145242831068e-01   4.925297216262e-01   0.000000000000e+00   1.200000000000e-02  -2.012502958345e-02
belloc               foil_left              7.937500000000e-01  -3.762026236402e-02  -6.199783102892e-01   2.184999782818e-01   1.771735074627e-01   1.787659998778e-02   9.220574438286e-01  -1.115265392024e-01  -1.115265392024e-01   1.888005188899e-03   3.603053668741e+00   0.000000000000e+00  -3.877628233546e+01   2.828995424204e-01  -3.261528394495e+00   4.686874301190e+05   1.142624370572e-01   4.847794466423e-01   0.000000000000e+00   1.200000000000e-02  -2.012502958345e-02
belloc               foil_left              7.812500000000e-01  -3.642685564141e-02  -6.135399961723e-01   2.100085840856e-01   1.828638059701e-01   1.299228305123e-02   9.220574438286e-01  -1.115265392024e-01  -1.115265392024e-01   1.948642432369e-03   3.545071450967e+00   0.000000000000e+00  -3.857337594629e+01   1.610527742769e-01  -3.335868879352e+00   4.812972358449e+05   1.136853681008e-01   4.788694798608e-01   0.000000000000e+00   1.200000000000e-02  -2.012502958345e-02
belloc               foil_left              7.687500000000e-01  -3.523344891881e-02  -6.071016820554e-01   2.015171898895e-01   1.885541044776e-01   8.107966114675e-03   9.220574438286e-01  -1.115265392024e-01  -1.115265392024e-01   2.009279675840e-03   3.531395740101e+00   0.000000000000e+00  -3.808262321157e+01   2.088757383964e-02  -3.407373576910e+00   4.900879950927e+05   1.122682707134e-01   4.774755525066e-01   0.000000000000e+00   1.200000000000e-02  -2.012502958345e-02
belloc               foil_left              7.562500000000e-01  -3.404004219621e-02  -6.006633679385e-01   1.930257956933e-01   1.942444029851e-01   3.223649178124e-03   9.220574438286e-01  -1.115265392024e-01  -1.076163163180e-01   2.069916919310e-03   3.786078369078e+00   0.000000000000e+00  -3.571558408244e+01  -1.363766892504e-01  -3.287765002092e+00   4.738033184797e+05   1.053129364486e-01   5.033840917984e-01   0.000000000000e+00   1.200000000000e-02  -2.011637421757e-02
belloc               foil_left              7.437500000000e-01  -3.292840106618e-02  -5.934549212714e-01   1.853309227961e-01   1.995845850366e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -9.756213556624e-02   2.126823234296e-03   3.625429194322e+00   0.000000000000e+00  -3.669243465038e+01   2.380742156123e-01  -3.282595448356e+00   5.006749612059e+05   1.081960684933e-01   4.868880344421e-01   0.000000000000e+00   1.200000000000e-02  -2.009556266723e-02
belloc               foil_left              7.312500000000e-01  -3.197548138055e-02  -5.847515114188e-01   1.791822383027e-01   2.045079617834e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -9.025108257406e-02   2.179287967755e-03   3.555363309969e+00   0.000000000000e+00  -3.768219257588e+01   2.951068939585e-01  -3.108415220850e+00   5.268910372885e+05   1.110437564521e-01   4.796656304175e-01   0.000000000000e+00   1.200000000000e-02  -2.008172993621e-02
belloc               foil_left              7.187500000000e-01  -3.102256169491e-02  -5.760481015661e-01   1.730335538093e-01   2.093646496815e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.231042048169e-03   3.461735943559e+00   0.000000000000e+00  -3.856220930923e+01   3.382594776321e-01  -3.097354546276e+00   5.519575354595e+05   1.136172483372e-01   4.701112195926e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              7.062500000000e-01  -3.006964200928e-02  -5.673446917135e-01   1.668848693159e-01   2.142213375796e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.282796128583e-03   3.432176138400e+00   0.000000000000e+00  -3.882842634840e+01   3.331443607391e-01  -3.088685309064e+00   5.686121117013e+05   1.143919160500e-01   4.670982706537e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              6.937500000000e-01  -2.911672232365e-02  -5.586412818609e-01   1.607361848224e-01   2.190780254777e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.334550208997e-03   3.414027179885e+00   0.000000000000e+00  -3.895167578911e+01   3.250256595865e-01  -3.076704267252e+00   5.833113332698e+05   1.147475843122e-01   4.652483976464e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              6.812500000000e-01  -2.816380263802e-02  -5.499378720082e-01   1.545875003290e-01   2.239347133758e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.386304289411e-03   3.399976778328e+00   0.000000000000e+00  -3.901032463674e+01   3.174042465484e-01  -3.063735621182e+00   5.971087937774e+05   1.149142801713e-01   4.638162791760e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              6.687500000000e-01  -2.721088295239e-02  -5.412344621556e-01   1.484388158356e-01   2.287914012739e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.438058369825e-03   3.388262087598e+00   0.000000000000e+00  -3.902827734642e+01   3.108725725791e-01  -3.050527321832e+00   6.103128855511e+05   1.149621285025e-01   4.626222332295e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              6.562500000000e-01  -2.625796326675e-02  -5.325310523030e-01   1.422901313422e-01   2.336480891720e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.489812450239e-03   3.378800563377e+00   0.000000000000e+00  -3.901146688446e+01   3.052916854279e-01  -3.037372517840e+00   6.229777758583e+05   1.149085316971e-01   4.616578462967e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              6.437500000000e-01  -2.530504358112e-02  -5.238276424503e-01   1.361414468488e-01   2.385047770701e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.541566530653e-03   3.372678255532e+00   0.000000000000e+00  -3.895386903186e+01   3.000756574215e-01  -3.024347714567e+00   6.349714972582e+05   1.147358411687e-01   4.610338164309e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              6.312500000000e-01  -2.435212389549e-02  -5.151242325977e-01   1.299927623554e-01   2.433614649682e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.593320611067e-03   3.373097621332e+00   0.000000000000e+00  -3.883035159188e+01   2.937104603678e-01  -3.011241240425e+00   6.458377821842e+05   1.143703873660e-01   4.610765612258e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
belloc               foil_left              6.187500000000e-01  -2.339920420986e-02  -5.064208227450e-01   1.238440778620e-01   2.482181528662e-01   0.000000000000e+00   6.150540284028e-01  -8.918632477691e-02  -8.918632477691e-02   2.645074691481e-03   3.390647581454e+00   0.000000000000e+00  -3.855351734263e+01   2.808427122840e-01  -2.996647992997e+00   6.540348266898e+05   1.135557918865e-01   4.628653800215e-01   0.000000000000e+00   1.200000000000e-02  -2.007980648288e-02
