# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04932 0.16096 0.26416 -0.26787 -0.02144 0.05705 -0.12468 0.02298
-5.5 0.04509 0.16047 0.23408 -0.23732 -0.02245 0.05962 -0.11470 0.01866
-5.0 0.04127 0.15996 0.20398 -0.20680 -0.02333 0.06219 -0.10579 0.01434
-4.5 0.03785 0.15944 0.17389 -0.17632 -0.02409 0.06475 -0.09797 0.01002
-4.0 0.03483 0.15892 0.14380 -0.14588 -0.02472 0.06731 -0.09122 0.00569
-3.5 0.03222 0.15837 0.11373 -0.11549 -0.02522 0.06986 -0.08555 0.00137
-3.0 0.03002 0.15782 0.08369 -0.08514 -0.02560 0.07240 -0.08097 -0.00295
-2.5 0.02823 0.15726 0.05368 -0.05486 -0.02586 0.07494 -0.07746 -0.00728
-2.0 0.02684 0.15668 0.02371 -0.02463 -0.02599 0.07748 -0.07505 -0.01160
-1.5 0.02586 0.15609 -0.00620 0.00552 -0.02601 0.08000 -0.07372 -0.01592
-1.0 0.02529 0.15549 -0.03605 0.03561 -0.02592 0.08253 -0.07348 -0.02024
-0.5 0.02513 0.15488 -0.06583 0.06561 -0.02570 0.08504 -0.07432 -0.02456
0.0 0.02538 0.15425 -0.09553 0.09553 -0.02538 0.08755 -0.07625 -0.02888
0.5 0.02603 0.15361 -0.12514 0.12536 -0.02494 0.09006 -0.07926 -0.03320
1.0 0.02710 0.15297 -0.15465 0.15510 -0.02440 0.09255 -0.08336 -0.03751
1.5 0.02857 0.15231 -0.18405 0.18474 -0.02375 0.09504 -0.08855 -0.04182
2.0 0.03045 0.15164 -0.21334 0.21427 -0.02299 0.09752 -0.09481 -0.04613
2.5 0.03274 0.15095 -0.24250 0.24370 -0.02213 0.10000 -0.10216 -0.05043
3.0 0.03544 0.15026 -0.27152 0.27301 -0.02118 0.10246 -0.11058 -0.05473
3.5 0.03854 0.14955 -0.30041 0.30220 -0.02013 0.10492 -0.12008 -0.05902
4.0 0.04205 0.14883 -0.32914 0.33127 -0.01898 0.10737 -0.13065 -0.06332
4.5 0.04596 0.14811 -0.35771 0.36021 -0.01775 0.10981 -0.14229 -0.06760
5.0 0.05027 0.14737 -0.38611 0.38902 -0.01643 0.11225 -0.15499 -0.07188
5.5 0.05498 0.14662 -0.41433 0.41770 -0.01502 0.11467 -0.16876 -0.07616
6.0 0.06010 0.14585 -0.44237 0.44623 -0.01353 0.11709 -0.18358 -0.08043
6.5 0.06561 0.14508 -0.47021 0.47462 -0.01196 0.11950 -0.19946 -0.08469
7.0 0.07152 0.14430 -0.49785 0.50285 -0.01031 0.12190 -0.21638 -0.08895
7.5 0.07782 0.14350 -0.52527 0.53094 -0.00859 0.12429 -0.23435 -0.09320
8.0 0.08452 0.14269 -0.55248 0.55887 -0.00680 0.12667 -0.25336 -0.09744
8.5 0.09160 0.14188 -0.57946 0.58663 -0.00495 0.12904 -0.27339 -0.10168
9.0 0.09908 0.14105 -0.60620 0.61423 -0.00303 0.13140 -0.29446 -0.10591
9.5 0.10694 0.14021 -0.63269 0.64166 -0.00105 0.13375 -0.31654 -0.11013
10.0 0.11519 0.13936 -0.65893 0.66892 0.00098 0.13609 -0.33963 -0.11434
10.5 0.12381 0.13850 -0.68491 0.69600 0.00307 0.13842 -0.36373 -0.11854
11.0 0.13282 0.13763 -0.71062 0.72291 0.00521 0.14074 -0.38883 -0.12274
11.5 0.14220 0.13675 -0.73605 0.74963 0.00740 0.14305 -0.41491 -0.12692
12.0 0.15196 0.13586 -0.76120 0.77616 0.00962 0.14535 -0.44198 -0.13109
12.5 0.16209 0.13496 -0.78606 0.80251 0.01189 0.14763 -0.47003 -0.13526
13.0 0.17258 0.13404 -0.81062 0.82866 0.01419 0.14991 -0.49904 -0.13941
13.5 0.18344 0.13312 -0.83487 0.85462 0.01653 0.15217 -0.52901 -0.14356
14.0 0.19465 0.13219 -0.85880 0.88038 0.01889 0.15443 -0.55992 -0.14769
14.5 0.20623 0.13125 -0.88242 0.90594 0.02128 0.15667 -0.59177 -0.15181
15.0 0.21816 0.13029 -0.90570 0.93130 0.02369 0.15890 -0.62455 -0.15592
15.5 0.23044 0.12933 -0.92865 0.95645 0.02611 0.16111 -0.65825 -0.16002
16.0 0.24306 0.12836 -0.95125 0.98140 0.02855 0.16332 -0.69286 -0.16411
16.5 0.25603 0.12738 -0.97350 1.00613 0.03100 0.16551 -0.72837 -0.16818
17.0 0.26934 0.12639 -0.99540 1.03065 0.03346 0.16769 -0.76476 -0.17224
17.5 0.28298 0.12538 -1.01693 1.05496 0.03592 0.16986 -0.80203 -0.17629
18.0 0.29695 0.12437 -1.03810 1.07905 0.03837 0.17201 -0.84016 -0.18032
18.5 0.31125 0.12335 -1.05888 1.10292 0.04082 0.17415 -0.87915 -0.18435
19.0 0.32587 0.12232 -1.07929 1.12658 0.04327 0.17628 -0.91898 -0.18835
19.5 0.34080 0.12128 -1.09930 1.15001 0.04570 0.17839 -0.95963 -0.19234
20.0 0.35605 0.12024 -1.11892 1.17322 0.04811 0.18049 -1.00110 -0.19632
20.5 0.37161 0.11918 -1.13813 1.19620 0.05050 0.18258 -1.04338 -0.20028
21.0 0.38747 0.11811 -1.15694 1.21896 0.05287 0.18465 -1.08645 -0.20423
21.5 0.40363 0.11704 -1.17534 1.24149 0.05522 0.18671 -1.13029 -0.20816
22.0 0.42009 0.11595 -1.19332 1.26379 0.05753 0.18876 -1.17490 -0.21208
