# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.02518 -0.02392 0.28791 -0.28896 0.00505 -0.00848 -0.06366 -0.00341
-5.5 0.02069 -0.02384 0.25599 -0.25680 0.00394 -0.00886 -0.05308 -0.00277
-5.0 0.01664 -0.02377 0.22407 -0.22466 0.00296 -0.00924 -0.04363 -0.00213
-4.5 0.01301 -0.02369 0.19214 -0.19257 0.00211 -0.00962 -0.03533 -0.00149
-4.0 0.00981 -0.02361 0.16022 -0.16052 0.00139 -0.01000 -0.02817 -0.00085
-3.5 0.00704 -0.02353 0.12832 -0.12851 0.00081 -0.01038 -0.02216 -0.00020
-3.0 0.00471 -0.02345 0.09645 -0.09656 0.00035 -0.01076 -0.01729 0.00044
-2.5 0.00280 -0.02337 0.06461 -0.06467 0.00002 -0.01114 -0.01358 0.00108
-2.0 0.00133 -0.02328 0.03282 -0.03285 -0.00018 -0.01151 -0.01101 0.00172
-1.5 0.00029 -0.02319 0.00109 -0.00109 -0.00026 -0.01189 -0.00960 0.00237
-1.0 -0.00031 -0.02310 -0.03058 0.03058 -0.00022 -0.01226 -0.00935 0.00301
-0.5 -0.00048 -0.02301 -0.06217 0.06217 -0.00006 -0.01264 -0.01024 0.00365
0.0 -0.00022 -0.02292 -0.09368 0.09368 0.00022 -0.01301 -0.01229 0.00429
0.5 0.00048 -0.02282 -0.12509 0.12509 0.00062 -0.01338 -0.01549 0.00493
1.0 0.00161 -0.02273 -0.15640 0.15640 0.00112 -0.01375 -0.01984 0.00557
1.5 0.00317 -0.02263 -0.18759 0.18761 0.00174 -0.01412 -0.02533 0.00621
2.0 0.00517 -0.02253 -0.21866 0.21870 0.00247 -0.01449 -0.03198 0.00685
2.5 0.00759 -0.02243 -0.24959 0.24969 0.00330 -0.01486 -0.03977 0.00749
3.0 0.01045 -0.02232 -0.28039 0.28055 0.00423 -0.01522 -0.04871 0.00813
3.5 0.01374 -0.02222 -0.31103 0.31129 0.00527 -0.01559 -0.05878 0.00877
4.0 0.01746 -0.02211 -0.34151 0.34189 0.00640 -0.01595 -0.07000 0.00941
4.5 0.02161 -0.02200 -0.37182 0.37237 0.00763 -0.01632 -0.08235 0.01004
5.0 0.02619 -0.02189 -0.40195 0.40270 0.00895 -0.01668 -0.09582 0.01068
5.5 0.03119 -0.02178 -0.43189 0.43289 0.01035 -0.01704 -0.11043 0.01132
6.0 0.03661 -0.02167 -0.46163 0.46293 0.01184 -0.01740 -0.12615 0.01195
6.5 0.04246 -0.02155 -0.49117 0.49282 0.01342 -0.01776 -0.14300 0.01258
7.0 0.04873 -0.02144 -0.52049 0.52255 0.01507 -0.01811 -0.16095 0.01322
7.5 0.05541 -0.02132 -0.54958 0.55211 0.01679 -0.01847 -0.18001 0.01385
8.0 0.06252 -0.02120 -0.57844 0.58152 0.01859 -0.01882 -0.20017 0.01448
8.5 0.07004 -0.02108 -0.60706 0.61075 0.02046 -0.01917 -0.22143 0.01511
9.0 0.07797 -0.02095 -0.63543 0.63980 0.02240 -0.01952 -0.24377 0.01574
9.5 0.08631 -0.02083 -0.66354 0.66868 0.02439 -0.01987 -0.26720 0.01636
10.0 0.09506 -0.02070 -0.69137 0.69738 0.02644 -0.02022 -0.29170 0.01699
10.5 0.10421 -0.02058 -0.71894 0.72589 0.02855 -0.02057 -0.31727 0.01761
11.0 0.11376 -0.02045 -0.74621 0.75421 0.03071 -0.02091 -0.34389 0.01824
11.5 0.12372 -0.02032 -0.77319 0.78234 0.03292 -0.02125 -0.37157 0.01886
12.0 0.13407 -0.02018 -0.79987 0.81027 0.03517 -0.02160 -0.40028 0.01948
12.5 0.14481 -0.02005 -0.82624 0.83800 0.03746 -0.02194 -0.43003 0.02010
13.0 0.15594 -0.01991 -0.85230 0.86553 0.03978 -0.02227 -0.46081 0.02071
13.5 0.16746 -0.01978 -0.87802 0.89285 0.04214 -0.02261 -0.49260 0.02133
14.0 0.17936 -0.01964 -0.90341 0.91997 0.04452 -0.02295 -0.52540 0.02194
14.5 0.19164 -0.01950 -0.92846 0.94687 0.04693 -0.02328 -0.55919 0.02256
15.0 0.20429 -0.01936 -0.95316 0.97356 0.04936 -0.02361 -0.59396 0.02317
15.5 0.21732 -0.01921 -0.97751 1.00003 0.05181 -0.02394 -0.62972 0.02378
16.0 0.23071 -0.01907 -1.00149 1.02628 0.05427 -0.02427 -0.66643 0.02438
16.5 0.24447 -0.01892 -1.02510 1.05232 0.05674 -0.02459 -0.70410 0.02499
17.0 0.25859 -0.01877 -1.04833 1.07812 0.05921 -0.02492 -0.74271 0.02559
17.5 0.27306 -0.01863 -1.07117 1.10370 0.06168 -0.02524 -0.78224 0.02619
18.0 0.28788 -0.01848 -1.09362 1.12906 0.06415 -0.02556 -0.82270 0.02679
18.5 0.30305 -0.01832 -1.11567 1.15418 0.06662 -0.02588 -0.86406 0.02739
19.0 0.31856 -0.01817 -1.13732 1.17907 0.06907 -0.02619 -0.90631 0.02798
19.5 0.33441 -0.01802 -1.15855 1.20372 0.07151 -0.02651 -0.94944 0.02858
20.0 0.35058 -0.01786 -1.17936 1.22814 0.07392 -0.02682 -0.99343 0.02917
20.5 0.36709 -0.01770 -1.19975 1.25233 0.07632 -0.02713 -1.03829 0.02976
21.0 0.38391 -0.01754 -1.21970 1.27627 0.07869 -0.02744 -1.08397 0.03034
21.5 0.40106 -0.01738 -1.23922 1.29998 0.08102 -0.02774 -1.13049 0.03093
22.0 0.41851 -0.01722 -1.25829 1.32345 0.08333 -0.02805 -1.17781 0.03151
