# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.03282 0.09450 0.28038 -0.28228 -0.00334 0.03350 -0.08299 0.01349
-5.5 0.02842 0.09421 0.24905 -0.25063 -0.00442 0.03501 -0.07259 0.01096
-5.0 0.02444 0.09392 0.21770 -0.21901 -0.00537 0.03651 -0.06332 0.00842
-4.5 0.02088 0.09361 0.18636 -0.18742 -0.00619 0.03802 -0.05517 0.00588
-4.0 0.01773 0.09330 0.15502 -0.15588 -0.00688 0.03952 -0.04814 0.00334
-3.5 0.01502 0.09298 0.12370 -0.12438 -0.00744 0.04101 -0.04223 0.00081
-3.0 0.01272 0.09266 0.09240 -0.09294 -0.00787 0.04251 -0.03746 -0.00173
-2.5 0.01085 0.09233 0.06115 -0.06156 -0.00818 0.04400 -0.03381 -0.00427
-2.0 0.00941 0.09199 0.02993 -0.03024 -0.00836 0.04549 -0.03130 -0.00681
-1.5 0.00839 0.09164 -0.00122 0.00100 -0.00842 0.04697 -0.02991 -0.00935
-1.0 0.00780 0.09129 -0.03232 0.03217 -0.00836 0.04845 -0.02966 -0.01189
-0.5 0.00763 0.09093 -0.06333 0.06326 -0.00818 0.04993 -0.03054 -0.01442
0.0 0.00789 0.09056 -0.09427 0.09427 -0.00789 0.05140 -0.03255 -0.01696
0.5 0.00857 0.09019 -0.12511 0.12518 -0.00748 0.05287 -0.03569 -0.01949
1.0 0.00968 0.08981 -0.15584 0.15599 -0.00696 0.05434 -0.03996 -0.02202
1.5 0.01122 0.08942 -0.18647 0.18670 -0.00633 0.05580 -0.04536 -0.02455
2.0 0.01318 0.08903 -0.21697 0.21730 -0.00560 0.05726 -0.05188 -0.02708
2.5 0.01556 0.08863 -0.24735 0.24779 -0.00476 0.05871 -0.05953 -0.02961
3.0 0.01837 0.08822 -0.27758 0.27816 -0.00381 0.06016 -0.06831 -0.03213
3.5 0.02160 0.08781 -0.30767 0.30841 -0.00277 0.06160 -0.07820 -0.03465
4.0 0.02525 0.08738 -0.33759 0.33853 -0.00164 0.06304 -0.08921 -0.03717
4.5 0.02932 0.08696 -0.36735 0.36852 -0.00041 0.06447 -0.10133 -0.03969
5.0 0.03381 0.08652 -0.39693 0.39837 0.00091 0.06590 -0.11456 -0.04220
5.5 0.03872 0.08608 -0.42633 0.42808 0.00232 0.06733 -0.12890 -0.04471
6.0 0.04405 0.08563 -0.45553 0.45764 0.00381 0.06875 -0.14434 -0.04722
6.5 0.04979 0.08518 -0.48453 0.48705 0.00538 0.07016 -0.16088 -0.04972
7.0 0.05595 0.08472 -0.51332 0.51631 0.00703 0.07157 -0.17851 -0.05222
7.5 0.06251 0.08425 -0.54189 0.54541 0.00875 0.07297 -0.19722 -0.05472
8.0 0.06949 0.08378 -0.57022 0.57434 0.01055 0.07437 -0.21702 -0.05721
8.5 0.07687 0.08330 -0.59832 0.60311 0.01241 0.07576 -0.23789 -0.05970
9.0 0.08465 0.08281 -0.62617 0.63170 0.01434 0.07715 -0.25983 -0.06218
9.5 0.09284 0.08232 -0.65377 0.66012 0.01633 0.07853 -0.28283 -0.06466
10.0 0.10143 0.08182 -0.68110 0.68837 0.01838 0.07990 -0.30688 -0.06713
10.5 0.11042 0.08132 -0.70816 0.71642 0.02048 0.08127 -0.33198 -0.06960
11.0 0.11980 0.08081 -0.73494 0.74430 0.02263 0.08263 -0.35812 -0.07206
11.5 0.12957 0.08029 -0.76143 0.77198 0.02483 0.08399 -0.38530 -0.07452
12.0 0.13973 0.07977 -0.78763 0.79947 0.02708 0.08534 -0.41349 -0.07697
12.5 0.15028 0.07924 -0.81352 0.82676 0.02936 0.08668 -0.44270 -0.07941
13.0 0.16121 0.07870 -0.83910 0.85385 0.03168 0.08802 -0.47292 -0.08185
13.5 0.17252 0.07816 -0.86435 0.88075 0.03403 0.08935 -0.50413 -0.08429
14.0 0.18420 0.07761 -0.88928 0.90743 0.03640 0.09067 -0.53633 -0.08671
14.5 0.19626 0.07706 -0.91388 0.93391 0.03881 0.09198 -0.56951 -0.08913
15.0 0.20869 0.07650 -0.93813 0.96018 0.04123 0.09329 -0.60365 -0.09155
15.5 0.22148 0.07594 -0.96203 0.98623 0.04367 0.09459 -0.63876 -0.09395
16.0 0.23463 0.07536 -0.98558 1.01207 0.04612 0.09589 -0.67480 -0.09635
16.5 0.24813 0.07479 -1.00876 1.03769 0.04859 0.09718 -0.71179 -0.09874
17.0 0.26199 0.07421 -1.03156 1.06309 0.05105 0.09846 -0.74969 -0.10113
17.5 0.27620 0.07362 -1.05399 1.08827 0.05352 0.09973 -0.78851 -0.10350
18.0 0.29076 0.07302 -1.07603 1.11322 0.05599 0.10099 -0.82823 -0.10587
18.5 0.30565 0.07242 -1.09769 1.13794 0.05845 0.10225 -0.86884 -0.10823
19.0 0.32087 0.07182 -1.11894 1.16244 0.06090 0.10350 -0.91032 -0.11059
19.5 0.33643 0.07121 -1.13978 1.18671 0.06333 0.10474 -0.95267 -0.11293
20.0 0.35232 0.07059 -1.16022 1.21075 0.06575 0.10597 -0.99587 -0.11527
20.5 0.36852 0.06997 -1.18023 1.23455 0.06814 0.10720 -1.03990 -0.11759
21.0 0.38504 0.06935 -1.19983 1.25812 0.07051 0.10841 -1.08476 -0.11991
21.5 0.40187 0.06872 -1.21899 1.28146 0.07285 0.10962 -1.13043 -0.12222
22.0 0.41901 0.06808 -1.23772 1.30455 0.07516 0.11082 -1.17689 -0.12452
