# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.02466 -0.00000 0.28841 -0.28941 0.00562 -0.00000 -0.06237 0.00000
-5.5 0.02017 -0.00000 0.25646 -0.25721 0.00450 -0.00000 -0.05177 0.00000
-5.0 0.01611 -0.00000 0.22449 -0.22504 0.00351 -0.00000 -0.04231 0.00000
-4.5 0.01248 -0.00000 0.19253 -0.19291 0.00266 -0.00000 -0.03400 0.00000
-4.0 0.00928 -0.00000 0.16057 -0.16083 0.00195 -0.00000 -0.02683 0.00000
-3.5 0.00651 -0.00000 0.12863 -0.12879 0.00136 -0.00000 -0.02081 0.00000
-3.0 0.00417 -0.00000 0.09672 -0.09680 0.00090 -0.00000 -0.01594 0.00000
-2.5 0.00226 -0.00000 0.06484 -0.06488 0.00057 0.00000 -0.01222 -0.00000
-2.0 0.00079 0.00000 0.03301 -0.03302 0.00037 0.00000 -0.00965 -0.00000
-1.5 -0.00025 0.00000 0.00124 -0.00123 0.00028 0.00000 -0.00824 -0.00000
-1.0 -0.00086 0.00000 -0.03047 0.03048 0.00033 0.00000 -0.00798 -0.00000
-0.5 -0.00103 0.00000 -0.06210 0.06210 0.00049 0.00000 -0.00888 -0.00000
0.0 -0.00076 0.00000 -0.09364 0.09364 0.00076 0.00000 -0.01093 -0.00000
0.5 -0.00007 0.00000 -0.12509 0.12508 0.00116 0.00000 -0.01413 -0.00000
1.0 0.00106 0.00000 -0.15643 0.15643 0.00167 0.00000 -0.01849 -0.00000
1.5 0.00263 0.00000 -0.18766 0.18767 0.00228 0.00000 -0.02399 -0.00000
2.0 0.00463 0.00000 -0.21877 0.21880 0.00301 0.00000 -0.03065 -0.00000
2.5 0.00706 0.00000 -0.24974 0.24982 0.00384 0.00000 -0.03845 -0.00000
3.0 0.00992 0.00000 -0.28058 0.28071 0.00478 0.00000 -0.04739 -0.00000
3.5 0.01322 0.00000 -0.31125 0.31148 0.00581 0.00000 -0.05748 -0.00000
4.0 0.01694 0.00000 -0.34177 0.34212 0.00694 0.00000 -0.06871 -0.00000
4.5 0.02109 0.00000 -0.37212 0.37263 0.00817 0.00000 -0.08107 -0.00000
5.0 0.02567 0.00000 -0.40229 0.40299 0.00948 0.00000 -0.09457 -0.00000
5.5 0.03068 0.00000 -0.43226 0.43321 0.01089 0.00000 -0.10919 -0.00000
6.0 0.03611 0.00000 -0.46204 0.46329 0.01238 0.00000 -0.12493 -0.00000
6.5 0.04197 0.00000 -0.49161 0.49320 0.01395 0.00000 -0.14180 -0.00000
7.0 0.04824 0.00000 -0.52097 0.52297 0.01561 0.00000 -0.15977 -0.00000
7.5 0.05494 0.00000 -0.55010 0.55256 0.01733 0.00000 -0.17886 -0.00000
8.0 0.06205 0.00000 -0.57900 0.58200 0.01913 0.00000 -0.19904 -0.00000
8.5 0.06958 0.00000 -0.60765 0.61126 0.02100 0.00000 -0.22033 -0.00000
9.0 0.07752 0.00000 -0.63605 0.64035 0.02294 0.00000 -0.24270 -0.00000
9.5 0.08587 0.00000 -0.66419 0.66926 0.02493 0.00000 -0.26615 -0.00000
10.0 0.09463 0.00000 -0.69206 0.69798 0.02699 0.00000 -0.29068 -0.00000
10.5 0.10379 0.00000 -0.71966 0.72652 0.02909 0.00000 -0.31628 -0.00000
11.0 0.11336 0.00000 -0.74697 0.75487 0.03125 0.00000 -0.34294 -0.00000
11.5 0.12332 0.00000 -0.77398 0.78303 0.03346 0.00000 -0.37064 -0.00000
12.0 0.13369 0.00000 -0.80070 0.81099 0.03571 0.00000 -0.39940 -0.00000
12.5 0.14444 0.00000 -0.82710 0.83876 0.03800 0.00000 -0.42919 -0.00000
13.0 0.15559 0.00000 -0.85318 0.86631 0.04032 0.00000 -0.46000 -0.00000
13.5 0.16712 0.00000 -0.87894 0.89367 0.04268 0.00000 -0.49183 -0.00000
14.0 0.17903 0.00000 -0.90436 0.92081 0.04507 0.00000 -0.52466 -0.00000
14.5 0.19133 0.00000 -0.92944 0.94774 0.04748 0.00000 -0.55850 -0.00000
15.0 0.20400 0.00000 -0.95417 0.97446 0.04991 0.00000 -0.59332 -0.00000
15.5 0.21704 0.00000 -0.97855 1.00096 0.05236 0.00000 -0.62911 -0.00000
16.0 0.23045 0.00000 -1.00256 1.02724 0.05482 0.00000 -0.66587 -0.00000
16.5 0.24423 0.00000 -1.02619 1.05330 0.05728 0.00000 -0.70358 -0.00000
17.0 0.25836 0.00000 -1.04945 1.07913 0.05976 0.00000 -0.74224 -0.00000
17.5 0.27285 0.00000 -1.07232 1.10474 0.06223 0.00000 -0.78182 -0.00000
18.0 0.28769 0.00000 -1.09480 1.13012 0.06470 -0.00000 -0.82233 -0.00000
18.5 0.30288 0.00000 -1.11688 1.15527 0.06717 -0.00000 -0.86374 -0.00000
19.0 0.31840 0.00000 -1.13855 1.18018 0.06962 -0.00000 -0.90604 -0.00000
19.5 0.33427 0.00000 -1.15981 1.20486 0.07206 -0.00000 -0.94922 -0.00000
20.0 0.35047 0.00000 -1.18065 1.22931 0.07447 -0.00000 -0.99327 -0.00000
20.5 0.36699 0.00000 -1.20106 1.25352 0.07687 -0.00000 -1.03818 -0.00000
21.0 0.38384 0.00000 -1.22104 1.27749 0.07924 -0.00000 -1.08392 -0.00000
21.5 0.40100 0.00000 -1.24058 1.30122 0.08157 -0.00000 -1.13049 -0.00000
22.0 0.41848 0.00000 -1.25968 1.32472 0.08388 -0.00000 -1.17788 -0.00000
