# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04287 0.13945 0.27050 -0.27350 -0.01436 0.04943 -0.10839 0.01991
-5.5 0.03858 0.13902 0.23993 -0.24252 -0.01540 0.05166 -0.09825 0.01617
-5.0 0.03469 0.13859 0.20934 -0.21157 -0.01631 0.05388 -0.08920 0.01242
-4.5 0.03122 0.13814 0.17876 -0.18066 -0.01709 0.05610 -0.08124 0.00868
-4.0 0.02815 0.13768 0.14818 -0.14979 -0.01775 0.05831 -0.07439 0.00493
-3.5 0.02550 0.13721 0.11763 -0.11896 -0.01827 0.06052 -0.06863 0.00119
-3.0 0.02326 0.13673 0.08709 -0.08819 -0.01867 0.06273 -0.06397 -0.00256
-2.5 0.02144 0.13624 0.05659 -0.05748 -0.01895 0.06493 -0.06041 -0.00630
-2.0 0.02003 0.13574 0.02614 -0.02682 -0.01910 0.06712 -0.05795 -0.01005
-1.5 0.01903 0.13523 -0.00426 0.00376 -0.01914 0.06931 -0.05660 -0.01379
-1.0 0.01846 0.13471 -0.03459 0.03427 -0.01906 0.07150 -0.05636 -0.01754
-0.5 0.01829 0.13418 -0.06486 0.06469 -0.01886 0.07368 -0.05721 -0.02128
0.0 0.01854 0.13364 -0.09504 0.09504 -0.01854 0.07585 -0.05917 -0.02502
0.5 0.01921 0.13309 -0.12513 0.12529 -0.01812 0.07802 -0.06224 -0.02876
1.0 0.02029 0.13253 -0.15512 0.15545 -0.01758 0.08018 -0.06641 -0.03250
1.5 0.02179 0.13195 -0.18500 0.18550 -0.01694 0.08234 -0.07167 -0.03623
2.0 0.02370 0.13137 -0.21476 0.21546 -0.01619 0.08449 -0.07804 -0.03996
2.5 0.02603 0.13078 -0.24439 0.24530 -0.01534 0.08663 -0.08550 -0.04369
3.0 0.02877 0.13018 -0.27389 0.27502 -0.01440 0.08877 -0.09406 -0.04742
3.5 0.03192 0.12957 -0.30324 0.30463 -0.01335 0.09090 -0.10372 -0.05114
4.0 0.03548 0.12895 -0.33244 0.33411 -0.01221 0.09302 -0.11446 -0.05485
4.5 0.03946 0.12832 -0.36148 0.36346 -0.01097 0.09514 -0.12629 -0.05857
5.0 0.04384 0.12767 -0.39034 0.39268 -0.00965 0.09725 -0.13920 -0.06228
5.5 0.04863 0.12702 -0.41902 0.42175 -0.00825 0.09935 -0.15319 -0.06598
6.0 0.05383 0.12636 -0.44751 0.45069 -0.00675 0.10144 -0.16825 -0.06968
6.5 0.05943 0.12569 -0.47581 0.47948 -0.00518 0.10353 -0.18439 -0.07337
7.0 0.06543 0.12501 -0.50389 0.50811 -0.00354 0.10561 -0.20159 -0.07706
7.5 0.07184 0.12432 -0.53176 0.53659 -0.00182 0.10768 -0.21985 -0.08075
8.0 0.07864 0.12363 -0.55941 0.56491 -0.00002 0.10974 -0.23916 -0.08442
8.5 0.08585 0.12292 -0.58683 0.59307 0.00184 0.11180 -0.25952 -0.08809
9.0 0.09344 0.12220 -0.61400 0.62106 0.00376 0.11384 -0.28093 -0.09175
9.5 0.10143 0.12147 -0.64092 0.64888 0.00574 0.11588 -0.30337 -0.09541
10.0 0.10981 0.12074 -0.66759 0.67652 0.00778 0.11791 -0.32684 -0.09906
10.5 0.11858 0.11999 -0.69399 0.70398 0.00988 0.11992 -0.35133 -0.10270
11.0 0.12773 0.11924 -0.72012 0.73126 0.01202 0.12193 -0.37683 -0.10633
11.5 0.13727 0.11848 -0.74597 0.75836 0.01421 0.12393 -0.40334 -0.10996
12.0 0.14718 0.11770 -0.77153 0.78527 0.01644 0.12593 -0.43085 -0.11358
12.5 0.15747 0.11692 -0.79679 0.81199 0.01872 0.12791 -0.45935 -0.11718
13.0 0.16814 0.11613 -0.82174 0.83851 0.02102 0.12988 -0.48883 -0.12078
13.5 0.17917 0.11533 -0.84639 0.86483 0.02336 0.13184 -0.51929 -0.12437
14.0 0.19057 0.11453 -0.87071 0.89095 0.02573 0.13379 -0.55070 -0.12796
14.5 0.20233 0.11371 -0.89471 0.91687 0.02813 0.13573 -0.58307 -0.13153
15.0 0.21446 0.11288 -0.91837 0.94258 0.03054 0.13766 -0.61639 -0.13509
15.5 0.22694 0.11205 -0.94169 0.96809 0.03297 0.13958 -0.65064 -0.13864
16.0 0.23977 0.11121 -0.96466 0.99338 0.03542 0.14149 -0.68581 -0.14218
16.5 0.25295 0.11036 -0.98728 1.01846 0.03787 0.14339 -0.72189 -0.14571
17.0 0.26647 0.10950 -1.00953 1.04333 0.04033 0.14528 -0.75887 -0.14923
17.5 0.28033 0.10863 -1.03141 1.06797 0.04279 0.14716 -0.79675 -0.15273
18.0 0.29453 0.10775 -1.05292 1.09240 0.04526 0.14903 -0.83550 -0.15623
18.5 0.30906 0.10687 -1.07404 1.11661 0.04771 0.15088 -0.87512 -0.15971
19.0 0.32392 0.10598 -1.09478 1.14059 0.05015 0.15272 -0.91559 -0.16318
19.5 0.33910 0.10508 -1.11512 1.16435 0.05259 0.15456 -0.95691 -0.16664
20.0 0.35459 0.10417 -1.13505 1.18788 0.05500 0.15637 -0.99906 -0.17009
20.5 0.37040 0.10325 -1.15458 1.21118 0.05740 0.15818 -1.04202 -0.17352
21.0 0.38652 0.10233 -1.17370 1.23426 0.05977 0.15998 -1.08579 -0.17694
21.5 0.40295 0.10140 -1.19240 1.25711 0.06211 0.16176 -1.13035 -0.18035
22.0 0.41967 0.10046 -1.21067 1.27972 0.06442 0.16353 -1.17568 -0.18374
