# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.05288 -0.17143 0.26066 -0.26476 -0.02535 -0.06076 -0.13369 -0.02448
-5.5 0.04869 -0.17090 0.23085 -0.23445 -0.02634 -0.06350 -0.12380 -0.01988
-5.0 0.04490 -0.17036 0.20103 -0.20418 -0.02721 -0.06623 -0.11497 -0.01527
-4.5 0.04151 -0.16981 0.17120 -0.17393 -0.02795 -0.06896 -0.10721 -0.01067
-4.0 0.03853 -0.16925 0.14139 -0.14373 -0.02857 -0.07168 -0.10053 -0.00607
-3.5 0.03594 -0.16867 0.11159 -0.11357 -0.02906 -0.07440 -0.09491 -0.00146
-3.0 0.03376 -0.16808 0.08181 -0.08347 -0.02943 -0.07711 -0.09037 0.00314
-2.5 0.03198 -0.16748 0.05207 -0.05342 -0.02968 -0.07981 -0.08690 0.00775
-2.0 0.03060 -0.16687 0.02237 -0.02343 -0.02981 -0.08251 -0.08450 0.01235
-1.5 0.02964 -0.16624 -0.00727 0.00649 -0.02982 -0.08521 -0.08319 0.01696
-1.0 0.02907 -0.16560 -0.03685 0.03634 -0.02971 -0.08789 -0.08294 0.02156
-0.5 0.02891 -0.16495 -0.06636 0.06611 -0.02949 -0.09057 -0.08378 0.02616
0.0 0.02916 -0.16428 -0.09580 0.09580 -0.02916 -0.09324 -0.08569 0.03076
0.5 0.02981 -0.16360 -0.12514 0.12539 -0.02871 -0.09591 -0.08868 0.03535
1.0 0.03086 -0.16291 -0.15438 0.15490 -0.02816 -0.09857 -0.09274 0.03995
1.5 0.03232 -0.16221 -0.18352 0.18430 -0.02751 -0.10122 -0.09788 0.04454
2.0 0.03419 -0.16149 -0.21254 0.21361 -0.02675 -0.10386 -0.10409 0.04912
2.5 0.03646 -0.16077 -0.24144 0.24280 -0.02589 -0.10650 -0.11137 0.05371
3.0 0.03913 -0.16003 -0.27021 0.27189 -0.02493 -0.10912 -0.11971 0.05829
3.5 0.04220 -0.15927 -0.29883 0.30085 -0.02388 -0.11174 -0.12913 0.06286
4.0 0.04568 -0.15851 -0.32731 0.32969 -0.02273 -0.11435 -0.13960 0.06743
4.5 0.04955 -0.15773 -0.35562 0.35841 -0.02150 -0.11695 -0.15114 0.07200
5.0 0.05382 -0.15695 -0.38377 0.38700 -0.02017 -0.11955 -0.16373 0.07656
5.5 0.05850 -0.15615 -0.41173 0.41545 -0.01876 -0.12213 -0.17737 0.08111
6.0 0.06356 -0.15533 -0.43952 0.44376 -0.01727 -0.12470 -0.19206 0.08566
6.5 0.06903 -0.15451 -0.46711 0.47192 -0.01570 -0.12727 -0.20779 0.09020
7.0 0.07488 -0.15367 -0.49450 0.49994 -0.01406 -0.12982 -0.22456 0.09473
7.5 0.08113 -0.15283 -0.52168 0.52780 -0.01234 -0.13237 -0.24237 0.09926
8.0 0.08776 -0.15197 -0.54864 0.55551 -0.01055 -0.13490 -0.26120 0.10378
8.5 0.09479 -0.15110 -0.57537 0.58306 -0.00870 -0.13743 -0.28106 0.10829
9.0 0.10220 -0.15022 -0.60187 0.61045 -0.00678 -0.13994 -0.30193 0.11279
9.5 0.10999 -0.14932 -0.62813 0.63767 -0.00481 -0.14245 -0.32382 0.11729
10.0 0.11816 -0.14842 -0.65413 0.66471 -0.00277 -0.14494 -0.34670 0.12177
10.5 0.12671 -0.14750 -0.67988 0.69159 -0.00069 -0.14742 -0.37059 0.12625
11.0 0.13563 -0.14657 -0.70536 0.71828 0.00145 -0.14989 -0.39546 0.13071
11.5 0.14493 -0.14564 -0.73056 0.74479 0.00363 -0.15235 -0.42131 0.13517
12.0 0.15460 -0.14469 -0.75549 0.77112 0.00585 -0.15480 -0.44814 0.13962
12.5 0.16463 -0.14372 -0.78012 0.79726 0.00812 -0.15723 -0.47593 0.14405
13.0 0.17503 -0.14275 -0.80446 0.82321 0.01042 -0.15966 -0.50468 0.14848
13.5 0.18579 -0.14177 -0.82849 0.84897 0.01275 -0.16207 -0.53437 0.15289
14.0 0.19691 -0.14078 -0.85221 0.87453 0.01511 -0.16447 -0.56501 0.15729
14.5 0.20838 -0.13977 -0.87561 0.89989 0.01749 -0.16686 -0.59658 0.16168
15.0 0.22020 -0.13876 -0.89868 0.92505 0.01990 -0.16923 -0.62906 0.16606
15.5 0.23237 -0.13773 -0.92142 0.95001 0.02232 -0.17159 -0.66246 0.17042
16.0 0.24488 -0.13670 -0.94383 0.97476 0.02476 -0.17394 -0.69676 0.17478
16.5 0.25774 -0.13565 -0.96588 0.99930 0.02720 -0.17627 -0.73194 0.17911
17.0 0.27092 -0.13460 -0.98758 1.02364 0.02966 -0.17859 -0.76801 0.18344
17.5 0.28444 -0.13353 -1.00892 1.04776 0.03211 -0.18090 -0.80494 0.18775
18.0 0.29829 -0.13245 -1.02989 1.07166 0.03457 -0.18320 -0.84273 0.19205
18.5 0.31246 -0.13137 -1.05049 1.09535 0.03702 -0.18548 -0.88137 0.19633
19.0 0.32694 -0.13027 -1.07071 1.11882 0.03946 -0.18774 -0.92084 0.20060
19.5 0.34175 -0.12916 -1.09054 1.14207 0.04189 -0.18999 -0.96113 0.20485
20.0 0.35686 -0.12805 -1.10999 1.16510 0.04430 -0.19223 -1.00223 0.20908
20.5 0.37228 -0.12692 -1.12903 1.18791 0.04669 -0.19445 -1.04412 0.21330
