# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04000 -0.12844 0.27333 -0.27601 -0.01121 -0.04552 -0.10113 -0.01834
-5.5 0.03568 -0.12804 0.24254 -0.24484 -0.01226 -0.04758 -0.09092 -0.01489
-5.0 0.03176 -0.12764 0.21174 -0.21370 -0.01319 -0.04962 -0.08180 -0.01144
-4.5 0.02826 -0.12723 0.18094 -0.18260 -0.01398 -0.05167 -0.07379 -0.00799
-4.0 0.02517 -0.12680 0.15014 -0.15153 -0.01464 -0.05371 -0.06688 -0.00454
-3.5 0.02250 -0.12637 0.11937 -0.12052 -0.01518 -0.05574 -0.06108 -0.00109
-3.0 0.02025 -0.12593 0.08862 -0.08955 -0.01558 -0.05777 -0.05639 0.00236
-2.5 0.01841 -0.12548 0.05790 -0.05865 -0.01587 -0.05980 -0.05281 0.00581
-2.0 0.01699 -0.12502 0.02723 -0.02781 -0.01603 -0.06182 -0.05033 0.00926
-1.5 0.01599 -0.12455 -0.00338 0.00296 -0.01608 -0.06384 -0.04897 0.01270
-1.0 0.01541 -0.12407 -0.03394 0.03366 -0.01600 -0.06585 -0.04873 0.01615
-0.5 0.01524 -0.12358 -0.06441 0.06428 -0.01581 -0.06786 -0.04959 0.01960
0.0 0.01550 -0.12308 -0.09481 0.09481 -0.01550 -0.06986 -0.05156 0.02304
0.5 0.01617 -0.12257 -0.12511 0.12525 -0.01508 -0.07186 -0.05465 0.02649
1.0 0.01726 -0.12206 -0.15532 0.15560 -0.01455 -0.07385 -0.05884 0.02993
1.5 0.01877 -0.12153 -0.18541 0.18584 -0.01391 -0.07583 -0.06415 0.03337
2.0 0.02069 -0.12099 -0.21539 0.21598 -0.01316 -0.07781 -0.07056 0.03680
2.5 0.02304 -0.12045 -0.24523 0.24600 -0.01232 -0.07979 -0.07808 0.04024
3.0 0.02580 -0.11989 -0.27494 0.27591 -0.01137 -0.08176 -0.08670 0.04367
3.5 0.02897 -0.11933 -0.30450 0.30570 -0.01033 -0.08372 -0.09642 0.04710
4.0 0.03256 -0.11876 -0.33391 0.33537 -0.00919 -0.08567 -0.10724 0.05052
4.5 0.03656 -0.11818 -0.36315 0.36490 -0.00796 -0.08762 -0.11915 0.05394
5.0 0.04097 -0.11759 -0.39222 0.39430 -0.00663 -0.08957 -0.13215 0.05736
5.5 0.04580 -0.11699 -0.42110 0.42356 -0.00523 -0.09150 -0.14624 0.06077
6.0 0.05103 -0.11638 -0.44980 0.45267 -0.00374 -0.09343 -0.16142 0.06418
6.5 0.05667 -0.11576 -0.47830 0.48164 -0.00216 -0.09535 -0.17767 0.06758
7.0 0.06272 -0.11513 -0.50658 0.51045 -0.00052 -0.09727 -0.19499 0.07097
7.5 0.06917 -0.11450 -0.53465 0.53911 0.00121 -0.09917 -0.21338 0.07437
8.0 0.07603 -0.11386 -0.56250 0.56760 0.00300 -0.10107 -0.23283 0.07775
8.5 0.08328 -0.11320 -0.59011 0.59593 0.00486 -0.10296 -0.25334 0.08113
9.0 0.09093 -0.11254 -0.61747 0.62410 0.00678 -0.10485 -0.27489 0.08450
9.5 0.09898 -0.11187 -0.64459 0.65209 0.00877 -0.10672 -0.29749 0.08787
10.0 0.10742 -0.11120 -0.67145 0.67990 0.01081 -0.10859 -0.32113 0.09123
10.5 0.11625 -0.11051 -0.69804 0.70753 0.01291 -0.11045 -0.34579 0.09459
11.0 0.12546 -0.10981 -0.72435 0.73498 0.01505 -0.11230 -0.37148 0.09793
11.5 0.13507 -0.10911 -0.75038 0.76225 0.01725 -0.11414 -0.39818 0.10127
12.0 0.14505 -0.10840 -0.77612 0.78932 0.01948 -0.11598 -0.42589 0.10460
12.5 0.15542 -0.10768 -0.80156 0.81620 0.02176 -0.11780 -0.45459 0.10793
13.0 0.16616 -0.10695 -0.82670 0.84289 0.02407 -0.11962 -0.48428 0.11124
13.5 0.17727 -0.10622 -0.85152 0.86937 0.02641 -0.12142 -0.51495 0.11455
14.0 0.18875 -0.10547 -0.87602 0.89566 0.02878 -0.12322 -0.54659 0.11785
14.5 0.20060 -0.10472 -0.90018 0.92174 0.03118 -0.12501 -0.57919 0.12113
15.0 0.21281 -0.10396 -0.92401 0.94761 0.03360 -0.12679 -0.61274 0.12441
15.5 0.22537 -0.10319 -0.94750 0.97327 0.03603 -0.12856 -0.64724 0.12768
16.0 0.23830 -0.10241 -0.97063 0.99872 0.03848 -0.13032 -0.68266 0.13094
16.5 0.25157 -0.10163 -0.99341 1.02395 0.04093 -0.13207 -0.71900 0.13419
17.0 0.26519 -0.10084 -1.01582 1.04897 0.04340 -0.13381 -0.75624 0.13744
17.5 0.27915 -0.10004 -1.03786 1.07377 0.04586 -0.13553 -0.79439 0.14066
18.0 0.29345 -0.09923 -1.05952 1.09835 0.04832 -0.13725 -0.83342 0.14388
18.5 0.30808 -0.09842 -1.08080 1.12270 0.05078 -0.13896 -0.87332 0.14709
19.0 0.32305 -0.09760 -1.10168 1.14683 0.05323 -0.14066 -0.91408 0.15029
19.5 0.33833 -0.09677 -1.12216 1.17073 0.05566 -0.14235 -0.95569 0.15347
20.0 0.35394 -0.09593 -1.14224 1.19441 0.05807 -0.14402 -0.99814 0.15665
20.5 0.36986 -0.09509 -1.16191 1.21786 0.06047 -0.14569 -1.04141 0.15981
21.0 0.38610 -0.09424 -1.18116 1.24108 0.06284 -0.14734 -1.08549 0.16296
21.5 0.40264 -0.09338 -1.19999 1.26406 0.06518 -0.14898 -1.13036 0.16610
22.0 0.41948 -0.09251 -1.21839 1.28681 0.06749 -0.15062 -1.17602 0.16922
