# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04598 0.15030 0.26744 -0.27078 -0.01777 0.05327 -0.11624 0.02146
-5.5 0.04172 0.14984 0.23711 -0.24001 -0.01880 0.05567 -0.10618 0.01743
-5.0 0.03786 0.14936 0.20676 -0.20927 -0.01970 0.05807 -0.09720 0.01339
-4.5 0.03441 0.14888 0.17641 -0.17857 -0.02047 0.06046 -0.08931 0.00935
-4.0 0.03137 0.14839 0.14607 -0.14790 -0.02111 0.06285 -0.08250 0.00532
-3.5 0.02874 0.14788 0.11575 -0.11729 -0.02162 0.06523 -0.07679 0.00128
-3.0 0.02652 0.14737 0.08545 -0.08672 -0.02201 0.06761 -0.07216 -0.00276
-2.5 0.02471 0.14684 0.05519 -0.05621 -0.02228 0.06998 -0.06863 -0.00679
-2.0 0.02331 0.14630 0.02497 -0.02577 -0.02243 0.07234 -0.06620 -0.01083
-1.5 0.02232 0.14575 -0.00520 0.00461 -0.02245 0.07470 -0.06486 -0.01487
-1.0 0.02175 0.14519 -0.03530 0.03491 -0.02236 0.07706 -0.06461 -0.01890
-0.5 0.02159 0.14462 -0.06533 0.06514 -0.02216 0.07941 -0.06546 -0.02294
0.0 0.02184 0.14403 -0.09527 0.09527 -0.02184 0.08175 -0.06741 -0.02697
0.5 0.02250 0.14344 -0.12513 0.12532 -0.02141 0.08409 -0.07045 -0.03100
1.0 0.02357 0.14283 -0.15489 0.15528 -0.02087 0.08642 -0.07458 -0.03502
1.5 0.02506 0.14222 -0.18454 0.18513 -0.02022 0.08874 -0.07981 -0.03905
2.0 0.02696 0.14159 -0.21407 0.21488 -0.01947 0.09106 -0.08613 -0.04307
2.5 0.02927 0.14095 -0.24348 0.24452 -0.01862 0.09337 -0.09353 -0.04709
3.0 0.03198 0.14030 -0.27275 0.27405 -0.01767 0.09567 -0.10203 -0.05110
3.5 0.03511 0.13965 -0.30188 0.30346 -0.01662 0.09797 -0.11160 -0.05511
4.0 0.03865 0.13898 -0.33085 0.33274 -0.01548 0.10026 -0.12226 -0.05912
4.5 0.04259 0.13830 -0.35966 0.36189 -0.01424 0.10254 -0.13400 -0.06312
5.0 0.04694 0.13760 -0.38830 0.39091 -0.01292 0.10481 -0.14681 -0.06712
5.5 0.05169 0.13690 -0.41676 0.41980 -0.01151 0.10708 -0.16069 -0.07111
6.0 0.05685 0.13619 -0.44503 0.44854 -0.01002 0.10933 -0.17564 -0.07510
6.5 0.06241 0.13547 -0.47311 0.47713 -0.00845 0.11158 -0.19165 -0.07908
7.0 0.06837 0.13474 -0.50098 0.50558 -0.00680 0.11382 -0.20872 -0.08306
7.5 0.07472 0.13399 -0.52864 0.53387 -0.00508 0.11605 -0.22684 -0.08703
8.0 0.08148 0.13324 -0.55607 0.56200 -0.00329 0.11828 -0.24600 -0.09099
8.5 0.08862 0.13248 -0.58327 0.58997 -0.00144 0.12049 -0.26621 -0.09494
9.0 0.09616 0.13170 -0.61024 0.61777 0.00049 0.12270 -0.28745 -0.09889
9.5 0.10409 0.13092 -0.63695 0.64540 0.00247 0.12489 -0.30972 -0.10283
10.0 0.11240 0.13013 -0.66342 0.67286 0.00450 0.12708 -0.33300 -0.10676
10.5 0.12110 0.12933 -0.68961 0.70014 0.00660 0.12925 -0.35731 -0.11069
11.0 0.13019 0.12851 -0.71554 0.72724 0.00874 0.13142 -0.38261 -0.11460
11.5 0.13965 0.12769 -0.74119 0.75415 0.01093 0.13357 -0.40892 -0.11851
12.0 0.14949 0.12686 -0.76655 0.78088 0.01316 0.13572 -0.43622 -0.12241
12.5 0.15970 0.12602 -0.79162 0.80742 0.01543 0.13785 -0.46450 -0.12630
13.0 0.17028 0.12516 -0.81638 0.83376 0.01773 0.13998 -0.49375 -0.13018
13.5 0.18123 0.12430 -0.84083 0.85991 0.02007 0.14209 -0.52397 -0.13405
14.0 0.19254 0.12343 -0.86497 0.88586 0.02243 0.14420 -0.55515 -0.13791
14.5 0.20421 0.12255 -0.88878 0.91160 0.02483 0.14629 -0.58727 -0.14176
15.0 0.21624 0.12166 -0.91226 0.93714 0.02724 0.14837 -0.62032 -0.14559
15.5 0.22862 0.12076 -0.93540 0.96248 0.02967 0.15044 -0.65431 -0.14942
16.0 0.24136 0.11986 -0.95820 0.98760 0.03211 0.15250 -0.68921 -0.15324
16.5 0.25443 0.11894 -0.98064 1.01252 0.03456 0.15455 -0.72501 -0.15704
17.0 0.26785 0.11801 -1.00272 1.03722 0.03702 0.15658 -0.76171 -0.16083
17.5 0.28161 0.11708 -1.02443 1.06170 0.03948 0.15861 -0.79929 -0.16461
18.0 0.29570 0.11613 -1.04577 1.08596 0.04194 0.16062 -0.83775 -0.16838
18.5 0.31012 0.11518 -1.06673 1.11001 0.04439 0.16262 -0.87706 -0.17213
19.0 0.32486 0.11422 -1.08731 1.13383 0.04683 0.16460 -0.91722 -0.17587
19.5 0.33992 0.11325 -1.10749 1.15743 0.04927 0.16658 -0.95822 -0.17960
20.0 0.35530 0.11227 -1.12727 1.18081 0.05168 0.16854 -1.00004 -0.18332
20.5 0.37099 0.11128 -1.14665 1.20396 0.05407 0.17049 -1.04268 -0.18702
21.0 0.38698 0.11029 -1.16562 1.22688 0.05644 0.17242 -1.08611 -0.19070
21.5 0.40328 0.10928 -1.18417 1.24958 0.05879 0.17434 -1.13032 -0.19437
22.0 0.41987 0.10827 -1.20230 1.27204 0.06110 0.17625 -1.17531 -0.19803
