# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04932 -0.16096 0.26417 -0.26788 -0.02144 -0.05705 -0.12468 -0.02298
-5.5 0.04509 -0.16047 0.23408 -0.23733 -0.02245 -0.05962 -0.11470 -0.01866
-5.0 0.04127 -0.15996 0.20399 -0.20681 -0.02333 -0.06219 -0.10579 -0.01434
-4.5 0.03785 -0.15945 0.17390 -0.17633 -0.02409 -0.06475 -0.09797 -0.01002
-4.0 0.03483 -0.15892 0.14381 -0.14589 -0.02472 -0.06731 -0.09122 -0.00570
-3.5 0.03222 -0.15837 0.11374 -0.11549 -0.02522 -0.06986 -0.08555 -0.00137
-3.0 0.03002 -0.15782 0.08369 -0.08515 -0.02560 -0.07240 -0.08097 0.00295
-2.5 0.02823 -0.15726 0.05368 -0.05486 -0.02586 -0.07494 -0.07746 0.00728
-2.0 0.02684 -0.15668 0.02372 -0.02464 -0.02599 -0.07748 -0.07505 0.01160
-1.5 0.02586 -0.15609 -0.00620 0.00552 -0.02601 -0.08000 -0.07372 0.01592
-1.0 0.02529 -0.15549 -0.03605 0.03560 -0.02592 -0.08253 -0.07348 0.02024
-0.5 0.02513 -0.15487 -0.06582 0.06560 -0.02570 -0.08504 -0.07432 0.02456
0.0 0.02538 -0.15425 -0.09552 0.09552 -0.02538 -0.08755 -0.07625 0.02888
0.5 0.02603 -0.15361 -0.12513 0.12535 -0.02494 -0.09005 -0.07926 0.03320
1.0 0.02710 -0.15296 -0.15464 0.15509 -0.02440 -0.09255 -0.08336 0.03751
1.5 0.02857 -0.15230 -0.18404 0.18473 -0.02375 -0.09504 -0.08855 0.04182
2.0 0.03045 -0.15163 -0.21333 0.21426 -0.02299 -0.09752 -0.09481 0.04613
2.5 0.03274 -0.15095 -0.24249 0.24369 -0.02214 -0.09999 -0.10216 0.05043
3.0 0.03544 -0.15026 -0.27152 0.27300 -0.02118 -0.10246 -0.11058 0.05473
3.5 0.03854 -0.14955 -0.30040 0.30219 -0.02013 -0.10492 -0.12008 0.05902
4.0 0.04205 -0.14883 -0.32913 0.33126 -0.01898 -0.10737 -0.13065 0.06331
