# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.02479 0.01196 0.28828 -0.28930 0.00548 0.00424 -0.06269 0.00171
-5.5 0.02030 0.01193 0.25634 -0.25711 0.00436 0.00443 -0.05210 0.00139
-5.0 0.01624 0.01189 0.22439 -0.22495 0.00337 0.00462 -0.04264 0.00107
-4.5 0.01261 0.01185 0.19243 -0.19283 0.00252 0.00481 -0.03433 0.00074
-4.0 0.00941 0.01181 0.16048 -0.16075 0.00181 0.00500 -0.02716 0.00042
-3.5 0.00664 0.01177 0.12855 -0.12872 0.00122 0.00519 -0.02114 0.00010
-3.0 0.00430 0.01173 0.09665 -0.09674 0.00076 0.00538 -0.01628 -0.00022
-2.5 0.00240 0.01169 0.06478 -0.06483 0.00043 0.00557 -0.01256 -0.00054
-2.0 0.00092 0.01165 0.03296 -0.03298 0.00023 0.00576 -0.00999 -0.00086
-1.5 -0.00012 0.01160 0.00120 -0.00120 0.00015 0.00595 -0.00858 -0.00118
-1.0 -0.00072 0.01156 -0.03049 0.03050 0.00019 0.00614 -0.00832 -0.00150
-0.5 -0.00089 0.01151 -0.06212 0.06212 0.00035 0.00632 -0.00922 -0.00183
0.0 -0.00063 0.01147 -0.09365 0.09365 0.00063 0.00651 -0.01127 -0.00215
0.5 0.00007 0.01142 -0.12509 0.12509 0.00102 0.00669 -0.01447 -0.00247
1.0 0.00120 0.01137 -0.15643 0.15642 0.00153 0.00688 -0.01882 -0.00279
1.5 0.00276 0.01132 -0.18765 0.18765 0.00215 0.00707 -0.02433 -0.00311
2.0 0.00476 0.01127 -0.21874 0.21878 0.00287 0.00725 -0.03098 -0.00343
2.5 0.00719 0.01122 -0.24971 0.24978 0.00371 0.00743 -0.03878 -0.00375
3.0 0.01006 0.01117 -0.28053 0.28067 0.00464 0.00762 -0.04772 -0.00407
3.5 0.01335 0.01112 -0.31120 0.31143 0.00567 0.00780 -0.05781 -0.00439
4.0 0.01707 0.01107 -0.34171 0.34206 0.00681 0.00798 -0.06903 -0.00471
4.5 0.02122 0.01101 -0.37204 0.37256 0.00803 0.00816 -0.08139 -0.00503
5.0 0.02580 0.01096 -0.40220 0.40292 0.00935 0.00834 -0.09488 -0.00534
5.5 0.03081 0.01090 -0.43217 0.43313 0.01076 0.00853 -0.10950 -0.00566
6.0 0.03624 0.01084 -0.46194 0.46320 0.01225 0.00870 -0.12524 -0.00598
6.5 0.04209 0.01079 -0.49150 0.49311 0.01382 0.00888 -0.14210 -0.00630
7.0 0.04836 0.01073 -0.52085 0.52286 0.01547 0.00906 -0.16007 -0.00661
7.5 0.05506 0.01067 -0.54997 0.55245 0.01720 0.00924 -0.17915 -0.00693
8.0 0.06217 0.01061 -0.57886 0.58188 0.01900 0.00942 -0.19933 -0.00724
8.5 0.06969 0.01055 -0.60750 0.61113 0.02087 0.00959 -0.22060 -0.00756
9.0 0.07763 0.01049 -0.63590 0.64021 0.02280 0.00977 -0.24297 -0.00787
9.5 0.08598 0.01043 -0.66403 0.66911 0.02480 0.00994 -0.26641 -0.00819
10.0 0.09473 0.01036 -0.69189 0.69783 0.02685 0.01012 -0.29094 -0.00850
10.5 0.10390 0.01030 -0.71948 0.72636 0.02896 0.01029 -0.31653 -0.00881
11.0 0.11346 0.01023 -0.74678 0.75471 0.03112 0.01046 -0.34317 -0.00912
11.5 0.12342 0.01017 -0.77379 0.78286 0.03332 0.01063 -0.37088 -0.00944
12.0 0.13378 0.01010 -0.80049 0.81081 0.03557 0.01081 -0.39962 -0.00975
12.5 0.14453 0.01004 -0.82688 0.83857 0.03786 0.01098 -0.42940 -0.01006
13.0 0.15568 0.00997 -0.85296 0.86612 0.04019 0.01114 -0.46020 -0.01036
13.5 0.16720 0.00990 -0.87871 0.89346 0.04255 0.01131 -0.49202 -0.01067
14.0 0.17912 0.00983 -0.90412 0.92060 0.04493 0.01148 -0.52485 -0.01098
14.5 0.19141 0.00976 -0.92920 0.94752 0.04734 0.01165 -0.55867 -0.01129
15.0 0.20407 0.00969 -0.95392 0.97423 0.04977 0.01181 -0.59348 -0.01159
15.5 0.21711 0.00962 -0.97829 1.00073 0.05222 0.01198 -0.62926 -0.01190
16.0 0.23052 0.00955 -1.00229 1.02700 0.05468 0.01214 -0.66601 -0.01220
16.5 0.24429 0.00947 -1.02592 1.05305 0.05715 0.01230 -0.70371 -0.01250
17.0 0.25842 0.00940 -1.04917 1.07888 0.05962 0.01247 -0.74235 -0.01281
17.5 0.27290 0.00932 -1.07203 1.10448 0.06210 0.01263 -0.78193 -0.01311
18.0 0.28774 0.00925 -1.09451 1.12985 0.06457 0.01279 -0.82242 -0.01341
18.5 0.30292 0.00917 -1.11658 1.15499 0.06703 0.01295 -0.86382 -0.01371
19.0 0.31844 0.00910 -1.13824 1.17990 0.06948 0.01310 -0.90611 -0.01400
19.5 0.33430 0.00902 -1.15949 1.20458 0.07192 0.01326 -0.94928 -0.01430
20.0 0.35050 0.00894 -1.18033 1.22902 0.07434 0.01342 -0.99331 -0.01460
20.5 0.36702 0.00886 -1.20073 1.25322 0.07673 0.01357 -1.03820 -0.01489
21.0 0.38386 0.00878 -1.22070 1.27719 0.07910 0.01373 -1.08394 -0.01518
21.5 0.40102 0.00870 -1.24024 1.30091 0.08144 0.01388 -1.13049 -0.01548
22.0 0.41849 0.00862 -1.25933 1.32440 0.08374 0.01403 -1.17786 -0.01577
