# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.02582 -0.03584 0.28728 -0.28840 0.00435 -0.01270 -0.06528 -0.00512
-5.5 0.02134 -0.03573 0.25541 -0.25628 0.00324 -0.01328 -0.05471 -0.00416
-5.0 0.01729 -0.03562 0.22353 -0.22419 0.00226 -0.01385 -0.04528 -0.00319
-4.5 0.01367 -0.03550 0.19166 -0.19214 0.00141 -0.01442 -0.03699 -0.00223
-4.0 0.01047 -0.03538 0.15979 -0.16013 0.00070 -0.01499 -0.02984 -0.00127
-3.5 0.00771 -0.03526 0.12793 -0.12817 0.00011 -0.01555 -0.02384 -0.00031
-3.0 0.00538 -0.03514 0.09611 -0.09626 -0.00034 -0.01612 -0.01898 0.00066
-2.5 0.00348 -0.03501 0.06432 -0.06441 -0.00067 -0.01669 -0.01527 0.00162
-2.0 0.00201 -0.03488 0.03258 -0.03263 -0.00087 -0.01725 -0.01271 0.00258
-1.5 0.00097 -0.03475 0.00089 -0.00092 -0.00095 -0.01781 -0.01131 0.00354
-1.0 0.00037 -0.03462 -0.03073 0.03071 -0.00090 -0.01837 -0.01105 0.00451
-0.5 0.00020 -0.03448 -0.06227 0.06227 -0.00074 -0.01893 -0.01194 0.00547
0.0 0.00046 -0.03434 -0.09373 0.09373 -0.00046 -0.01949 -0.01399 0.00643
0.5 0.00115 -0.03420 -0.12509 0.12510 -0.00006 -0.02005 -0.01718 0.00739
1.0 0.00228 -0.03406 -0.15635 0.15637 0.00045 -0.02061 -0.02152 0.00835
1.5 0.00384 -0.03391 -0.18749 0.18753 0.00107 -0.02116 -0.02701 0.00931
2.0 0.00584 -0.03376 -0.21852 0.21859 0.00179 -0.02171 -0.03365 0.01027
2.5 0.00826 -0.03361 -0.24940 0.24953 0.00263 -0.02226 -0.04143 0.01123
3.0 0.01112 -0.03345 -0.28015 0.28035 0.00356 -0.02281 -0.05035 0.01219
3.5 0.01440 -0.03330 -0.31075 0.31105 0.00460 -0.02336 -0.06041 0.01314
4.0 0.01812 -0.03314 -0.34118 0.34161 0.00573 -0.02391 -0.07161 0.01410
4.5 0.02226 -0.03297 -0.37144 0.37204 0.00695 -0.02445 -0.08394 0.01505
5.0 0.02683 -0.03281 -0.40153 0.40234 0.00827 -0.02499 -0.09739 0.01600
5.5 0.03182 -0.03264 -0.43142 0.43249 0.00968 -0.02553 -0.11198 0.01696
6.0 0.03724 -0.03247 -0.46112 0.46249 0.01117 -0.02607 -0.12768 0.01791
6.5 0.04307 -0.03230 -0.49061 0.49233 0.01274 -0.02661 -0.14449 0.01886
7.0 0.04933 -0.03212 -0.51989 0.52202 0.01439 -0.02714 -0.16242 0.01980
7.5 0.05601 -0.03195 -0.54894 0.55155 0.01612 -0.02767 -0.18145 0.02075
8.0 0.06310 -0.03177 -0.57775 0.58091 0.01792 -0.02820 -0.20159 0.02169
8.5 0.07061 -0.03159 -0.60633 0.61011 0.01979 -0.02873 -0.22281 0.02264
9.0 0.07853 -0.03140 -0.63465 0.63912 0.02172 -0.02926 -0.24512 0.02358
9.5 0.08686 -0.03121 -0.66272 0.66796 0.02372 -0.02978 -0.26851 0.02452
10.0 0.09559 -0.03103 -0.69051 0.69662 0.02577 -0.03030 -0.29297 0.02546
10.5 0.10473 -0.03083 -0.71803 0.72509 0.02788 -0.03082 -0.31850 0.02639
11.0 0.11427 -0.03064 -0.74527 0.75338 0.03003 -0.03134 -0.34508 0.02733
11.5 0.12421 -0.03044 -0.77221 0.78147 0.03224 -0.03185 -0.37272 0.02826
12.0 0.13454 -0.03024 -0.79885 0.80936 0.03449 -0.03236 -0.40139 0.02919
12.5 0.14527 -0.03004 -0.82518 0.83706 0.03678 -0.03287 -0.43110 0.03011
13.0 0.15638 -0.02984 -0.85119 0.86455 0.03910 -0.03338 -0.46182 0.03104
13.5 0.16788 -0.02964 -0.87687 0.89184 0.04146 -0.03388 -0.49357 0.03196
14.0 0.17977 -0.02943 -0.90223 0.91892 0.04384 -0.03438 -0.52631 0.03288
14.5 0.19203 -0.02922 -0.92724 0.94578 0.04625 -0.03488 -0.56005 0.03380
15.0 0.20466 -0.02901 -0.95190 0.97244 0.04868 -0.03538 -0.59478 0.03472
15.5 0.21767 -0.02879 -0.97621 0.99888 0.05113 -0.03587 -0.63047 0.03563
16.0 0.23104 -0.02857 -1.00015 1.02509 0.05359 -0.03636 -0.66713 0.03654
16.5 0.24478 -0.02836 -1.02373 1.05109 0.05605 -0.03685 -0.70474 0.03744
17.0 0.25887 -0.02813 -1.04692 1.07686 0.05853 -0.03734 -0.74329 0.03835
17.5 0.27332 -0.02791 -1.06973 1.10241 0.06100 -0.03782 -0.78277 0.03925
18.0 0.28812 -0.02769 -1.09215 1.12773 0.06347 -0.03830 -0.82316 0.04015
18.5 0.30327 -0.02746 -1.11416 1.15282 0.06593 -0.03878 -0.86446 0.04104
19.0 0.31875 -0.02723 -1.13578 1.17767 0.06838 -0.03925 -0.90664 0.04193
19.5 0.33458 -0.02700 -1.15698 1.20230 0.07082 -0.03972 -0.94971 0.04282
20.0 0.35073 -0.02677 -1.17776 1.22669 0.07324 -0.04019 -0.99364 0.04371
20.5 0.36721 -0.02653 -1.19811 1.25084 0.07563 -0.04065 -1.03842 0.04459
21.0 0.38401 -0.02629 -1.21804 1.27475 0.07800 -0.04111 -1.08404 0.04547
21.5 0.40113 -0.02605 -1.23752 1.29843 0.08034 -0.04157 -1.13048 0.04635
22.0 0.41855 -0.02581 -1.25657 1.32186 0.08264 -0.04203 -1.17774 0.04722
