# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.02671 0.04771 0.28639 -0.28762 0.00337 0.01691 -0.06755 0.00681
-5.5 0.02225 0.04757 0.25460 -0.25556 0.00226 0.01767 -0.05700 0.00553
-5.0 0.01820 0.04742 0.22279 -0.22353 0.00128 0.01844 -0.04759 0.00425
-4.5 0.01459 0.04727 0.19098 -0.19153 0.00044 0.01919 -0.03931 0.00297
-4.0 0.01140 0.04711 0.15917 -0.15958 -0.00027 0.01995 -0.03218 0.00169
-3.5 0.00864 0.04695 0.12739 -0.12768 -0.00085 0.02071 -0.02619 0.00041
-3.0 0.00632 0.04679 0.09563 -0.09583 -0.00130 0.02146 -0.02134 -0.00088
-2.5 0.00442 0.04662 0.06391 -0.06404 -0.00163 0.02222 -0.01764 -0.00216
-2.0 0.00295 0.04645 0.03224 -0.03232 -0.00183 0.02297 -0.01509 -0.00344
-1.5 0.00192 0.04627 0.00062 -0.00067 -0.00190 0.02372 -0.01369 -0.00472
-1.0 0.00132 0.04609 -0.03093 0.03090 -0.00186 0.02446 -0.01343 -0.00600
-0.5 0.00115 0.04591 -0.06241 0.06239 -0.00169 0.02521 -0.01432 -0.00728
0.0 0.00141 0.04573 -0.09380 0.09380 -0.00141 0.02595 -0.01636 -0.00856
0.5 0.00210 0.04554 -0.12509 0.12511 -0.00101 0.02670 -0.01955 -0.00984
1.0 0.00323 0.04535 -0.15629 0.15632 -0.00050 0.02744 -0.02388 -0.01112
1.5 0.00479 0.04515 -0.18737 0.18743 0.00012 0.02817 -0.02936 -0.01240
2.0 0.00678 0.04495 -0.21832 0.21842 0.00085 0.02891 -0.03598 -0.01367
2.5 0.00920 0.04475 -0.24914 0.24931 0.00168 0.02964 -0.04374 -0.01495
3.0 0.01204 0.04454 -0.27982 0.28007 0.00262 0.03037 -0.05265 -0.01622
3.5 0.01532 0.04434 -0.31035 0.31071 0.00365 0.03110 -0.06269 -0.01750
4.0 0.01903 0.04412 -0.34072 0.34122 0.00479 0.03183 -0.07386 -0.01877
4.5 0.02316 0.04391 -0.37092 0.37160 0.00601 0.03255 -0.08616 -0.02004
5.0 0.02772 0.04369 -0.40094 0.40183 0.00733 0.03328 -0.09959 -0.02131
5.5 0.03270 0.04347 -0.43077 0.43192 0.00874 0.03400 -0.11414 -0.02258
6.0 0.03811 0.04324 -0.46041 0.46187 0.01023 0.03471 -0.12981 -0.02384
6.5 0.04393 0.04301 -0.48984 0.49166 0.01180 0.03543 -0.14659 -0.02511
7.0 0.05018 0.04278 -0.51905 0.52129 0.01345 0.03614 -0.16448 -0.02637
7.5 0.05684 0.04254 -0.54804 0.55077 0.01518 0.03685 -0.18347 -0.02763
8.0 0.06392 0.04230 -0.57679 0.58007 0.01698 0.03755 -0.20356 -0.02889
8.5 0.07141 0.04206 -0.60531 0.60921 0.01884 0.03825 -0.22474 -0.03014
9.0 0.07931 0.04182 -0.63357 0.63818 0.02078 0.03895 -0.24700 -0.03140
9.5 0.08762 0.04157 -0.66157 0.66696 0.02277 0.03965 -0.27034 -0.03265
10.0 0.09634 0.04132 -0.68931 0.69557 0.02482 0.04034 -0.29475 -0.03390
10.5 0.10546 0.04106 -0.71677 0.72399 0.02693 0.04103 -0.32022 -0.03514
11.0 0.11498 0.04080 -0.74395 0.75222 0.02909 0.04172 -0.34675 -0.03638
11.5 0.12489 0.04054 -0.77083 0.78026 0.03129 0.04241 -0.37433 -0.03763
12.0 0.13521 0.04028 -0.79741 0.80810 0.03354 0.04309 -0.40294 -0.03886
12.5 0.14591 0.04001 -0.82369 0.83574 0.03583 0.04377 -0.43258 -0.04010
13.0 0.15700 0.03974 -0.84964 0.86318 0.03815 0.04444 -0.46324 -0.04133
13.5 0.16848 0.03947 -0.87528 0.89042 0.04051 0.04511 -0.49492 -0.04256
14.0 0.18033 0.03919 -0.90057 0.91745 0.04289 0.04578 -0.52760 -0.04378
14.5 0.19257 0.03891 -0.92553 0.94427 0.04530 0.04644 -0.56126 -0.04501
15.0 0.20518 0.03863 -0.95014 0.97087 0.04773 0.04710 -0.59591 -0.04622
15.5 0.21816 0.03834 -0.97440 0.99726 0.05017 0.04776 -0.63153 -0.04744
16.0 0.23150 0.03805 -0.99829 1.02343 0.05263 0.04842 -0.66811 -0.04865
16.5 0.24521 0.03776 -1.02181 1.04938 0.05510 0.04907 -0.70564 -0.04986
17.0 0.25927 0.03747 -1.04496 1.07510 0.05757 0.04971 -0.74411 -0.05106
17.5 0.27369 0.03717 -1.06772 1.10060 0.06004 0.05035 -0.78350 -0.05226
18.0 0.28846 0.03687 -1.09009 1.12587 0.06251 0.05099 -0.82381 -0.05346
18.5 0.30357 0.03657 -1.11206 1.15092 0.06498 0.05163 -0.86502 -0.05465
19.0 0.31903 0.03627 -1.13362 1.17573 0.06743 0.05226 -0.90711 -0.05584
19.5 0.33481 0.03596 -1.15478 1.20030 0.06986 0.05288 -0.95009 -0.05702
20.0 0.35093 0.03565 -1.17551 1.22465 0.07228 0.05351 -0.99392 -0.05820
20.5 0.36738 0.03533 -1.19583 1.24876 0.07468 0.05413 -1.03861 -0.05937
21.0 0.38414 0.03502 -1.21571 1.27263 0.07704 0.05474 -1.08413 -0.06055
21.5 0.40122 0.03470 -1.23516 1.29626 0.07938 0.05535 -1.13048 -0.06171
22.0 0.41861 0.03438 -1.25416 1.31965 0.08168 0.05596 -1.17763 -0.06287
