# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.03497 -0.10595 0.27827 -0.28041 -0.00569 -0.03755 -0.08842 -0.01513
-5.5 0.03059 -0.10562 0.24710 -0.24890 -0.00677 -0.03925 -0.07808 -0.01228
-5.0 0.02663 -0.10529 0.21592 -0.21742 -0.00771 -0.04093 -0.06886 -0.00944
-4.5 0.02309 -0.10495 0.18474 -0.18598 -0.00852 -0.04262 -0.06074 -0.00659
-4.0 0.01996 -0.10460 0.15356 -0.15458 -0.00920 -0.04430 -0.05375 -0.00375
-3.5 0.01726 -0.10425 0.12240 -0.12323 -0.00975 -0.04598 -0.04788 -0.00090
-3.0 0.01498 -0.10388 0.09127 -0.09193 -0.01018 -0.04766 -0.04313 0.00194
-2.5 0.01312 -0.10351 0.06018 -0.06069 -0.01048 -0.04933 -0.03950 0.00479
-2.0 0.01168 -0.10313 0.02913 -0.02952 -0.01066 -0.05100 -0.03700 0.00763
-1.5 0.01067 -0.10274 -0.00187 0.00159 -0.01071 -0.05266 -0.03562 0.01048
-1.0 0.01008 -0.10235 -0.03280 0.03262 -0.01065 -0.05432 -0.03537 0.01332
-0.5 0.00991 -0.10194 -0.06365 0.06356 -0.01046 -0.05598 -0.03624 0.01617
0.0 0.01017 -0.10153 -0.09443 0.09443 -0.01017 -0.05763 -0.03824 0.01901
0.5 0.01085 -0.10111 -0.12511 0.12520 -0.00975 -0.05928 -0.04137 0.02185
1.0 0.01195 -0.10068 -0.15568 0.15587 -0.00923 -0.06092 -0.04561 0.02469
1.5 0.01348 -0.10025 -0.18615 0.18644 -0.00860 -0.06256 -0.05098 0.02753
2.0 0.01543 -0.09981 -0.21650 0.21690 -0.00786 -0.06419 -0.05748 0.03036
2.5 0.01780 -0.09936 -0.24671 0.24725 -0.00702 -0.06582 -0.06509 0.03319
3.0 0.02059 -0.09890 -0.27679 0.27749 -0.00608 -0.06744 -0.07381 0.03602
3.5 0.02381 -0.09844 -0.30672 0.30760 -0.00504 -0.06906 -0.08365 0.03885
4.0 0.02744 -0.09796 -0.33649 0.33758 -0.00390 -0.07067 -0.09461 0.04168
4.5 0.03149 -0.09748 -0.36609 0.36743 -0.00267 -0.07228 -0.10667 0.04450
5.0 0.03596 -0.09700 -0.39552 0.39715 -0.00135 -0.07388 -0.11983 0.04731
5.5 0.04084 -0.09650 -0.42476 0.42672 0.00006 -0.07548 -0.13410 0.05013
6.0 0.04614 -0.09600 -0.45381 0.45615 0.00155 -0.07707 -0.14945 0.05294
6.5 0.05185 -0.09549 -0.48266 0.48543 0.00312 -0.07866 -0.16591 0.05575
7.0 0.05797 -0.09498 -0.51130 0.51455 0.00477 -0.08024 -0.18344 0.05855
7.5 0.06451 -0.09445 -0.53972 0.54352 0.00649 -0.08181 -0.20206 0.06134
8.0 0.07144 -0.09392 -0.56791 0.57232 0.00829 -0.08338 -0.22175 0.06414
8.5 0.07879 -0.09338 -0.59586 0.60096 0.01015 -0.08494 -0.24251 0.06693
9.0 0.08653 -0.09284 -0.62356 0.62942 0.01208 -0.08649 -0.26434 0.06971
9.5 0.09468 -0.09228 -0.65102 0.65771 0.01407 -0.08804 -0.28722 0.07249
10.0 0.10322 -0.09173 -0.67821 0.68583 0.01611 -0.08958 -0.31115 0.07526
