# alpha CX CY CZ CL CD Cl Cm Cn
10.5 0.11216 -0.09116 -0.70513 0.71376 0.01821 -0.09111 -0.33612 0.07802
11.0 0.12150 -0.09059 -0.73177 0.74150 0.02036 -0.09264 -0.36212 0.08079
11.5 0.13122 -0.09001 -0.75812 0.76906 0.02256 -0.09416 -0.38915 0.08354
12.0 0.14133 -0.08942 -0.78418 0.79643 0.02480 -0.09567 -0.41720 0.08629
12.5 0.15182 -0.08883 -0.80994 0.82360 0.02708 -0.09718 -0.44626 0.08903
13.0 0.16269 -0.08822 -0.83538 0.85057 0.02940 -0.09867 -0.47632 0.09176
13.5 0.17394 -0.08762 -0.86051 0.87734 0.03175 -0.10016 -0.50737 0.09449
14.0 0.18556 -0.08700 -0.88531 0.90390 0.03412 -0.10165 -0.53940 0.09721
14.5 0.19756 -0.08638 -0.90977 0.93026 0.03652 -0.10312 -0.57241 0.09992
15.0 0.20992 -0.08576 -0.93390 0.95641 0.03894 -0.10459 -0.60637 0.10263
15.5 0.22264 -0.08512 -0.95768 0.98235 0.04138 -0.10605 -0.64129 0.10533
16.0 0.23572 -0.08448 -0.98110 1.00807 0.04383 -0.10750 -0.67715 0.10802
16.5 0.24916 -0.08384 -1.00416 1.03357 0.04630 -0.10894 -0.71394 0.11070
17.0 0.26295 -0.08318 -1.02685 1.05886 0.04876 -0.11038 -0.75165 0.11337
17.5 0.27708 -0.08252 -1.04916 1.08392 0.05123 -0.11180 -0.79027 0.11604
18.0 0.29156 -0.08186 -1.07109 1.10876 0.05369 -0.11322 -0.82978 0.11869
18.5 0.30638 -0.08119 -1.09262 1.13338 0.05615 -0.11463 -0.87018 0.12134
19.0 0.32152 -0.08051 -1.11377 1.15776 0.05860 -0.11603 -0.91144 0.12397
19.5 0.33700 -0.07982 -1.13450 1.18192 0.06103 -0.11742 -0.95357 0.12660
20.0 0.35280 -0.07913 -1.15483 1.20585 0.06345 -0.11881 -0.99654 0.12922
20.5 0.36892 -0.07844 -1.17474 1.22955 0.06584 -0.12018 -1.04035 0.13183
21.0 0.38536 -0.07774 -1.19424 1.25301 0.06821 -0.12154 -1.08497 0.13443
21.5 0.40210 -0.07703 -1.21330 1.27624 0.07055 -0.12290 -1.13040 0.13701
22.0 0.41915 -0.07631 -1.23193 1.29924 0.07286 -0.12424 -1.17663 0.13959
