# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.05288 0.17142 0.26065 -0.26475 -0.02535 0.06076 -0.13368 0.02448
-5.5 0.04869 0.17090 0.23084 -0.23445 -0.02634 0.06350 -0.12380 0.01988
-5.0 0.04490 0.17036 0.20102 -0.20417 -0.02721 0.06623 -0.11497 0.01527
-4.5 0.04151 0.16981 0.17119 -0.17392 -0.02795 0.06896 -0.10721 0.01067
-4.0 0.03853 0.16925 0.14138 -0.14372 -0.02857 0.07168 -0.10053 0.00607
-3.5 0.03594 0.16867 0.11158 -0.11356 -0.02906 0.07440 -0.09491 0.00146
-3.0 0.03376 0.16808 0.08180 -0.08346 -0.02943 0.07711 -0.09037 -0.00314
-2.5 0.03198 0.16748 0.05206 -0.05341 -0.02968 0.07982 -0.08690 -0.00775
-2.0 0.03060 0.16687 0.02237 -0.02342 -0.02981 0.08251 -0.08450 -0.01235
-1.5 0.02963 0.16624 -0.00728 0.00650 -0.02982 0.08521 -0.08319 -0.01696
-1.0 0.02907 0.16560 -0.03686 0.03635 -0.02971 0.08789 -0.08294 -0.02156
-0.5 0.02891 0.16495 -0.06637 0.06612 -0.02949 0.09057 -0.08378 -0.02616
0.0 0.02916 0.16428 -0.09580 0.09580 -0.02916 0.09325 -0.08569 -0.03076
0.5 0.02981 0.16360 -0.12515 0.12540 -0.02871 0.09591 -0.08868 -0.03535
1.0 0.03086 0.16291 -0.15439 0.15491 -0.02816 0.09857 -0.09274 -0.03995
1.5 0.03232 0.16221 -0.18353 0.18431 -0.02751 0.10122 -0.09788 -0.04454
2.0 0.03419 0.16150 -0.21255 0.21362 -0.02675 0.10386 -0.10409 -0.04913
2.5 0.03646 0.16077 -0.24145 0.24281 -0.02589 0.10650 -0.11137 -0.05371
3.0 0.03913 0.16003 -0.27022 0.27189 -0.02493 0.10913 -0.11972 -0.05829
3.5 0.04220 0.15928 -0.29884 0.30086 -0.02388 0.11174 -0.12913 -0.06286
4.0 0.04568 0.15851 -0.32731 0.32970 -0.02273 0.11435 -0.13960 -0.06743
4.5 0.04955 0.15774 -0.35563 0.35842 -0.02150 0.11696 -0.15114 -0.07200
5.0 0.05383 0.15695 -0.38377 0.38700 -0.02017 0.11955 -0.16373 -0.07656
5.5 0.05850 0.15615 -0.41174 0.41545 -0.01876 0.12213 -0.17737 -0.08111
6.0 0.06356 0.15534 -0.43953 0.44376 -0.01727 0.12471 -0.19206 -0.08566
6.5 0.06903 0.15451 -0.46712 0.47193 -0.01570 0.12727 -0.20780 -0.09020
7.0 0.07488 0.15368 -0.49451 0.49995 -0.01406 0.12983 -0.22457 -0.09473
7.5 0.08113 0.15283 -0.52169 0.52781 -0.01234 0.13237 -0.24237 -0.09926
8.0 0.08776 0.15197 -0.54865 0.55552 -0.01055 0.13491 -0.26121 -0.10378
8.5 0.09479 0.15110 -0.57538 0.58307 -0.00870 0.13743 -0.28106 -0.10829
9.0 0.10220 0.15022 -0.60188 0.61046 -0.00678 0.13994 -0.30194 -0.11279
9.5 0.10999 0.14933 -0.62814 0.63767 -0.00481 0.14245 -0.32382 -0.11729
10.0 0.11816 0.14842 -0.65414 0.66472 -0.00277 0.14494 -0.34671 -0.12177
10.5 0.12671 0.14751 -0.67989 0.69159 -0.00069 0.14742 -0.37059 -0.12625
11.0 0.13564 0.14658 -0.70537 0.71829 0.00145 0.14989 -0.39546 -0.13072
11.5 0.14493 0.14564 -0.73057 0.74480 0.00363 0.15235 -0.42131 -0.13517
12.0 0.15460 0.14469 -0.75549 0.77113 0.00585 0.15480 -0.44814 -0.13962
12.5 0.16464 0.14373 -0.78013 0.79727 0.00812 0.15724 -0.47593 -0.14405
13.0 0.17504 0.14276 -0.80446 0.82322 0.01042 0.15966 -0.50468 -0.14848
13.5 0.18580 0.14178 -0.82850 0.84898 0.01275 0.16207 -0.53438 -0.15289
14.0 0.19691 0.14078 -0.85222 0.87454 0.01511 0.16447 -0.56502 -0.15730
14.5 0.20838 0.13978 -0.87562 0.89990 0.01749 0.16686 -0.59658 -0.16168
15.0 0.22021 0.13877 -0.89869 0.92506 0.01990 0.16923 -0.62907 -0.16606
15.5 0.23237 0.13774 -0.92143 0.95002 0.02232 0.17159 -0.66247 -0.17043
16.0 0.24489 0.13671 -0.94383 0.97477 0.02476 0.17394 -0.69676 -0.17478
16.5 0.25774 0.13566 -0.96589 0.99931 0.02720 0.17627 -0.73195 -0.17912
17.0 0.27092 0.13460 -0.98759 1.02364 0.02966 0.17860 -0.76802 -0.18344
17.5 0.28444 0.13354 -1.00893 1.04776 0.03211 0.18090 -0.80495 -0.18775
18.0 0.29829 0.13246 -1.02990 1.07167 0.03457 0.18320 -0.84274 -0.19205
18.5 0.31246 0.13137 -1.05050 1.09536 0.03702 0.18548 -0.88138 -0.19633
19.0 0.32695 0.13028 -1.07072 1.11883 0.03946 0.18774 -0.92085 -0.20060
19.5 0.34175 0.12917 -1.09055 1.14208 0.04189 0.18999 -0.96114 -0.20485
20.0 0.35686 0.12805 -1.10999 1.16511 0.04430 0.19223 -1.00224 -0.20909
20.5 0.37228 0.12693 -1.12904 1.18791 0.04669 0.19445 -1.04413 -0.21331
21.0 0.38800 0.12579 -1.14768 1.21050 0.04906 0.19666 -1.08681 -0.21751
21.5 0.40401 0.12465 -1.16591 1.23285 0.05141 0.19885 -1.13026 -0.22170
22.0 0.42032 0.12349 -1.18373 1.25499 0.05372 0.20103 -1.17447 -0.22587
