# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.02927 0.07128 0.28388 -0.28539 0.00057 0.02527 -0.07400 0.01018
-5.5 0.02483 0.07106 0.25228 -0.25350 -0.00053 0.02640 -0.06352 0.00827
-5.0 0.02081 0.07084 0.22066 -0.22164 -0.00150 0.02754 -0.05416 0.00635
-4.5 0.01722 0.07061 0.18905 -0.18981 -0.00233 0.02868 -0.04594 0.00444
-4.0 0.01405 0.07038 0.15744 -0.15803 -0.00303 0.02981 -0.03885 0.00252
-3.5 0.01131 0.07014 0.12585 -0.12630 -0.00360 0.03094 -0.03289 0.00061
-3.0 0.00899 0.06989 0.09428 -0.09462 -0.00405 0.03206 -0.02808 -0.00131
-2.5 0.00711 0.06964 0.06276 -0.06301 -0.00436 0.03319 -0.02440 -0.00322
-2.0 0.00565 0.06939 0.03128 -0.03145 -0.00456 0.03431 -0.02186 -0.00514
-1.5 0.00462 0.06913 -0.00015 0.00003 -0.00463 0.03543 -0.02047 -0.00705
-1.0 0.00402 0.06886 -0.03151 0.03143 -0.00457 0.03655 -0.02021 -0.00897
-0.5 0.00386 0.06859 -0.06279 0.06276 -0.00440 0.03766 -0.02110 -0.01088
0.0 0.00412 0.06831 -0.09399 0.09399 -0.00412 0.03877 -0.02312 -0.01279
0.5 0.00481 0.06803 -0.12510 0.12514 -0.00371 0.03988 -0.02629 -0.01470
1.0 0.00592 0.06774 -0.15610 0.15618 -0.00320 0.04099 -0.03060 -0.01661
1.5 0.00747 0.06745 -0.18699 0.18712 -0.00258 0.04209 -0.03604 -0.01852
2.0 0.00945 0.06715 -0.21776 0.21796 -0.00184 0.04319 -0.04263 -0.02043
2.5 0.01185 0.06685 -0.24839 0.24867 -0.00101 0.04428 -0.05034 -0.02233
3.0 0.01469 0.06654 -0.27889 0.27927 -0.00007 0.04538 -0.05919 -0.02424
3.5 0.01794 0.06623 -0.30923 0.30975 0.00097 0.04647 -0.06917 -0.02614
4.0 0.02163 0.06591 -0.33941 0.34010 0.00210 0.04755 -0.08027 -0.02804
4.5 0.02574 0.06559 -0.36943 0.37031 0.00333 0.04863 -0.09250 -0.02994
5.0 0.03027 0.06526 -0.39927 0.40039 0.00465 0.04971 -0.10585 -0.03183
5.5 0.03522 0.06493 -0.42892 0.43032 0.00605 0.05079 -0.12031 -0.03373
6.0 0.04059 0.06459 -0.45837 0.46010 0.00754 0.05186 -0.13588 -0.03562
6.5 0.04638 0.06425 -0.48762 0.48974 0.00912 0.05292 -0.15256 -0.03751
7.0 0.05259 0.06390 -0.51665 0.51921 0.01077 0.05398 -0.17034 -0.03939
7.5 0.05921 0.06355 -0.54547 0.54853 0.01249 0.05504 -0.18922 -0.04127
8.0 0.06624 0.06320 -0.57405 0.57768 0.01429 0.05610 -0.20918 -0.04315
8.5 0.07369 0.06283 -0.60239 0.60666 0.01616 0.05715 -0.23023 -0.04503
9.0 0.08154 0.06247 -0.63048 0.63547 0.01809 0.05819 -0.25236 -0.04690
9.5 0.08980 0.06210 -0.65831 0.66411 0.02008 0.05923 -0.27556 -0.04877
10.0 0.09847 0.06172 -0.68588 0.69256 0.02213 0.06027 -0.29982 -0.05064
10.5 0.10753 0.06134 -0.71317 0.72083 0.02424 0.06130 -0.32514 -0.05250
11.0 0.11699 0.06095 -0.74018 0.74891 0.02639 0.06233 -0.35150 -0.05436
11.5 0.12685 0.06056 -0.76690 0.77680 0.02859 0.06335 -0.37891 -0.05621
12.0 0.13710 0.06017 -0.79332 0.80449 0.03084 0.06437 -0.40735 -0.05806
12.5 0.14774 0.05977 -0.81944 0.83199 0.03313 0.06538 -0.43681 -0.05990
13.0 0.15876 0.05936 -0.84524 0.85929 0.03545 0.06639 -0.46729 -0.06174
13.5 0.17017 0.05896 -0.87071 0.88638 0.03780 0.06739 -0.49877 -0.06358
14.0 0.18195 0.05854 -0.89586 0.91326 0.04018 0.06839 -0.53125 -0.06541
14.5 0.19411 0.05813 -0.92066 0.93994 0.04259 0.06938 -0.56471 -0.06723
15.0 0.20664 0.05770 -0.94512 0.96640 0.04501 0.07037 -0.59915 -0.06905
15.5 0.21954 0.05728 -0.96923 0.99265 0.04746 0.07135 -0.63455 -0.07087
16.0 0.23281 0.05685 -0.99298 1.01868 0.04991 0.07233 -0.67091 -0.07268
16.5 0.24643 0.05641 -1.01636 1.04449 0.05238 0.07330 -0.70821 -0.07448
17.0 0.26041 0.05597 -1.03936 1.07008 0.05485 0.07426 -0.74644 -0.07628
17.5 0.27474 0.05553 -1.06198 1.09545 0.05732 0.07522 -0.78560 -0.07807
18.0 0.28942 0.05508 -1.08422 1.12059 0.05979 0.07618 -0.82566 -0.07986
18.5 0.30444 0.05463 -1.10605 1.14550 0.06225 0.07713 -0.86661 -0.08164
19.0 0.31980 0.05417 -1.12749 1.17018 0.06470 0.07807 -0.90845 -0.08342
19.5 0.33549 0.05371 -1.14851 1.19462 0.06713 0.07900 -0.95117 -0.08518
20.0 0.35151 0.05325 -1.16912 1.21884 0.06955 0.07993 -0.99474 -0.08694
20.5 0.36786 0.05278 -1.18931 1.24282 0.07195 0.08086 -1.03915 -0.08870
21.0 0.38452 0.05231 -1.20907 1.26657 0.07431 0.08178 -1.08439 -0.09045
21.5 0.40149 0.05183 -1.22840 1.29007 0.07665 0.08269 -1.13046 -0.09219
22.0 0.41878 0.05135 -1.24729 1.31334 0.07896 0.08359 -1.17732 -0.09392
