# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.03092 -0.08294 0.28226 -0.28394 -0.00125 -0.02940 -0.07818 -0.01184
-5.5 0.02650 -0.08269 0.25078 -0.25217 -0.00234 -0.03072 -0.06774 -0.00962
-5.0 0.02250 -0.08243 0.21929 -0.22042 -0.00330 -0.03205 -0.05842 -0.00739
-4.5 0.01892 -0.08216 0.18780 -0.18871 -0.00412 -0.03337 -0.05023 -0.00516
-4.0 0.01576 -0.08189 0.15632 -0.15704 -0.00482 -0.03468 -0.04317 -0.00293
-3.5 0.01303 -0.08161 0.12485 -0.12541 -0.00539 -0.03600 -0.03724 -0.00071
-3.0 0.01073 -0.08133 0.09341 -0.09385 -0.00582 -0.03731 -0.03244 0.00152
-2.5 0.00885 -0.08104 0.06201 -0.06234 -0.00614 -0.03862 -0.02878 0.00375
-2.0 0.00740 -0.08074 0.03065 -0.03089 -0.00632 -0.03992 -0.02625 0.00598
-1.5 0.00637 -0.08043 -0.00065 0.00048 -0.00639 -0.04123 -0.02486 0.00820
-1.0 0.00578 -0.08012 -0.03188 0.03177 -0.00633 -0.04253 -0.02460 0.01043
-0.5 0.00561 -0.07981 -0.06304 0.06299 -0.00616 -0.04382 -0.02549 0.01266
0.0 0.00587 -0.07949 -0.09412 0.09412 -0.00587 -0.04512 -0.02750 0.01488
0.5 0.00656 -0.07916 -0.12510 0.12515 -0.00546 -0.04641 -0.03066 0.01711
1.0 0.00767 -0.07882 -0.15598 0.15609 -0.00495 -0.04769 -0.03495 0.01933
1.5 0.00921 -0.07848 -0.18675 0.18692 -0.00432 -0.04897 -0.04037 0.02155
2.0 0.01118 -0.07814 -0.21739 0.21765 -0.00359 -0.05025 -0.04693 0.02377
2.5 0.01358 -0.07779 -0.24790 0.24826 -0.00275 -0.05153 -0.05461 0.02599
3.0 0.01640 -0.07743 -0.27828 0.27875 -0.00181 -0.05280 -0.06343 0.02820
3.5 0.01964 -0.07706 -0.30850 0.30912 -0.00077 -0.05407 -0.07337 0.03042
4.0 0.02331 -0.07669 -0.33856 0.33936 0.00036 -0.05533 -0.08443 0.03263
4.5 0.02740 -0.07632 -0.36846 0.36947 0.00159 -0.05659 -0.09661 0.03484
5.0 0.03192 -0.07594 -0.39818 0.39944 0.00291 -0.05784 -0.10990 0.03704
5.5 0.03685 -0.07555 -0.42771 0.42927 0.00432 -0.05909 -0.12430 0.03924
6.0 0.04220 -0.07516 -0.45705 0.45895 0.00581 -0.06034 -0.13982 0.04144
6.5 0.04797 -0.07476 -0.48618 0.48848 0.00738 -0.06158 -0.15643 0.04364
7.0 0.05415 -0.07435 -0.51510 0.51786 0.00903 -0.06281 -0.17414 0.04584
7.5 0.06074 -0.07394 -0.54380 0.54707 0.01075 -0.06405 -0.19294 0.04803
8.0 0.06775 -0.07353 -0.57226 0.57612 0.01255 -0.06527 -0.21283 0.05021
8.5 0.07517 -0.07311 -0.60049 0.60501 0.01442 -0.06649 -0.23379 0.05239
9.0 0.08299 -0.07268 -0.62847 0.63372 0.01635 -0.06771 -0.25583 0.05457
9.5 0.09122 -0.07225 -0.65620 0.66225 0.01834 -0.06892 -0.27894 0.05675
10.0 0.09984 -0.07181 -0.68365 0.69060 0.02039 -0.07013 -0.30310 0.05892
10.5 0.10887 -0.07137 -0.71084 0.71878 0.02249 -0.07133 -0.32832 0.06108
11.0 0.11830 -0.07092 -0.73774 0.74676 0.02464 -0.07252 -0.35458 0.06324
11.5 0.12811 -0.07046 -0.76436 0.77455 0.02685 -0.07371 -0.38188 0.06540
12.0 0.13832 -0.07000 -0.79067 0.80215 0.02909 -0.07490 -0.41020 0.06755
12.5 0.14892 -0.06954 -0.81668 0.82955 0.03137 -0.07608 -0.43955 0.06970
13.0 0.15990 -0.06907 -0.84238 0.85676 0.03369 -0.07725 -0.46990 0.07184
13.5 0.17126 -0.06859 -0.86775 0.88376 0.03605 -0.07842 -0.50126 0.07397
14.0 0.18300 -0.06811 -0.89280 0.91055 0.03843 -0.07958 -0.53361 0.07610
14.5 0.19511 -0.06763 -0.91751 0.93713 0.04083 -0.08073 -0.56694 0.07823
15.0 0.20759 -0.06714 -0.94187 0.96350 0.04326 -0.08188 -0.60124 0.08035
15.5 0.22044 -0.06664 -0.96588 0.98966 0.04570 -0.08302 -0.63650 0.08246
16.0 0.23365 -0.06614 -0.98953 1.01560 0.04815 -0.08416 -0.67272 0.08456
16.5 0.24722 -0.06563 -1.01282 1.04133 0.05062 -0.08529 -0.70987 0.08666
17.0 0.26115 -0.06512 -1.03573 1.06683 0.05308 -0.08641 -0.74795 0.08876
17.5 0.27542 -0.06460 -1.05826 1.09210 0.05555 -0.08753 -0.78695 0.09084
18.0 0.29004 -0.06408 -1.08041 1.11716 0.05802 -0.08864 -0.82685 0.09292
18.5 0.30500 -0.06356 -1.10216 1.14198 0.06048 -0.08974 -0.86764 0.09499
19.0 0.32030 -0.06303 -1.12351 1.16658 0.06293 -0.09084 -0.90932 0.09706
19.5 0.33593 -0.06249 -1.14445 1.19094 0.06537 -0.09193 -0.95186 0.09911
20.0 0.35188 -0.06195 -1.16498 1.21507 0.06778 -0.09301 -0.99526 0.10116
20.5 0.36816 -0.06141 -1.18509 1.23897 0.07018 -0.09409 -1.03949 0.10321
21.0 0.38476 -0.06086 -1.20477 1.26264 0.07255 -0.09515 -1.08456 0.10524
21.5 0.40167 -0.06030 -1.22402 1.28606 0.07488 -0.09621 -1.13044 0.10727
22.0 0.41889 -0.05974 -1.24283 1.30925 0.07719 -0.09727 -1.17712 0.10928
