# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.03282 -0.09450 0.28039 -0.28228 -0.00334 -0.03350 -0.08299 -0.01349
-5.5 0.02842 -0.09421 0.24905 -0.25063 -0.00442 -0.03501 -0.07260 -0.01096
-5.0 0.02444 -0.09392 0.21771 -0.21901 -0.00537 -0.03651 -0.06332 -0.00842
-4.5 0.02088 -0.09361 0.18636 -0.18743 -0.00619 -0.03802 -0.05517 -0.00588
-4.0 0.01774 -0.09330 0.15502 -0.15588 -0.00688 -0.03952 -0.04814 -0.00334
-3.5 0.01502 -0.09299 0.12370 -0.12439 -0.00744 -0.04101 -0.04223 -0.00081
-3.0 0.01272 -0.09266 0.09241 -0.09295 -0.00787 -0.04251 -0.03746 0.00173
-2.5 0.01085 -0.09233 0.06115 -0.06156 -0.00818 -0.04400 -0.03381 0.00427
-2.0 0.00941 -0.09199 0.02994 -0.03025 -0.00836 -0.04549 -0.03130 0.00681
-1.5 0.00839 -0.09164 -0.00122 0.00100 -0.00842 -0.04697 -0.02991 0.00935
-1.0 0.00780 -0.09129 -0.03231 0.03217 -0.00836 -0.04845 -0.02966 0.01188
-0.5 0.00763 -0.09093 -0.06333 0.06326 -0.00818 -0.04993 -0.03054 0.01442
0.0 0.00789 -0.09056 -0.09426 0.09426 -0.00789 -0.05140 -0.03255 0.01696
0.5 0.00857 -0.09019 -0.12510 0.12517 -0.00748 -0.05287 -0.03569 0.01949
1.0 0.00968 -0.08981 -0.15584 0.15599 -0.00696 -0.05434 -0.03996 0.02202
1.5 0.01122 -0.08942 -0.18647 0.18670 -0.00633 -0.05580 -0.04536 0.02455
2.0 0.01318 -0.08903 -0.21697 0.21730 -0.00560 -0.05726 -0.05188 0.02708
2.5 0.01556 -0.08863 -0.24734 0.24779 -0.00476 -0.05871 -0.05953 0.02961
3.0 0.01837 -0.08822 -0.27758 0.27816 -0.00381 -0.06016 -0.06830 0.03213
3.5 0.02160 -0.08780 -0.30766 0.30841 -0.00277 -0.06160 -0.07820 0.03465
4.0 0.02525 -0.08738 -0.33759 0.33853 -0.00164 -0.06304 -0.08921 0.03717
4.5 0.02932 -0.08695 -0.36735 0.36851 -0.00041 -0.06447 -0.10133 0.03969
5.0 0.03381 -0.08652 -0.39693 0.39837 0.00091 -0.06590 -0.11456 0.04220
5.5 0.03872 -0.08608 -0.42633 0.42807 0.00232 -0.06733 -0.12890 0.04471
6.0 0.04405 -0.08563 -0.45553 0.45764 0.00381 -0.06875 -0.14434 0.04722
6.5 0.04979 -0.08518 -0.48453 0.48705 0.00538 -0.07016 -0.16088 0.04972
7.0 0.05595 -0.08472 -0.51331 0.51631 0.00703 -0.07157 -0.17851 0.05222
7.5 0.06251 -0.08425 -0.54188 0.54540 0.00875 -0.07297 -0.19722 0.05472
8.0 0.06949 -0.08377 -0.57022 0.57434 0.01055 -0.07437 -0.21702 0.05721
8.5 0.07687 -0.08329 -0.59832 0.60311 0.01241 -0.07576 -0.23789 0.05970
9.0 0.08465 -0.08281 -0.62617 0.63170 0.01434 -0.07715 -0.25983 0.06218
9.5 0.09284 -0.08232 -0.65376 0.66012 0.01633 -0.07853 -0.28282 0.06466
10.0 0.10143 -0.08182 -0.68110 0.68836 0.01838 -0.07990 -0.30688 0.06713
10.5 0.11042 -0.08131 -0.70816 0.71642 0.02048 -0.08127 -0.33198 0.06960
11.0 0.11980 -0.08080 -0.73494 0.74429 0.02263 -0.08263 -0.35812 0.07206
11.5 0.12957 -0.08028 -0.76143 0.77197 0.02483 -0.08399 -0.38529 0.07452
12.0 0.13973 -0.07976 -0.78762 0.79946 0.02708 -0.08534 -0.41349 0.07697
12.5 0.15028 -0.07923 -0.81351 0.82676 0.02936 -0.08668 -0.44270 0.07941
13.0 0.16121 -0.07869 -0.83909 0.85385 0.03168 -0.08802 -0.47292 0.08185
13.5 0.17252 -0.07815 -0.86435 0.88074 0.03403 -0.08934 -0.50413 0.08428
14.0 0.18420 -0.07761 -0.88928 0.90743 0.03641 -0.09067 -0.53633 0.08671
14.5 0.19626 -0.07705 -0.91388 0.93391 0.03881 -0.09198 -0.56951 0.08913
15.0 0.20868 -0.07649 -0.93813 0.96017 0.04123 -0.09329 -0.60365 0.09154
15.5 0.22147 -0.07593 -0.96203 0.98623 0.04367 -0.09459 -0.63875 0.09395
16.0 0.23463 -0.07536 -0.98557 1.01206 0.04612 -0.09589 -0.67480 0.09635
16.5 0.24813 -0.07478 -1.00875 1.03768 0.04859 -0.09717 -0.71178 0.09874
17.0 0.26199 -0.07420 -1.03156 1.06308 0.05105 -0.09845 -0.74969 0.10113
17.5 0.27620 -0.07361 -1.05399 1.08826 0.05352 -0.09973 -0.78851 0.10350
18.0 0.29075 -0.07302 -1.07603 1.11321 0.05599 -0.10099 -0.82823 0.10587
18.5 0.30565 -0.07242 -1.09768 1.13794 0.05845 -0.10225 -0.86883 0.10823
19.0 0.32087 -0.07181 -1.11893 1.16244 0.06090 -0.10350 -0.91032 0.11058
19.5 0.33643 -0.07120 -1.13978 1.18671 0.06333 -0.10474 -0.95266 0.11293
20.0 0.35232 -0.07059 -1.16021 1.21074 0.06575 -0.10597 -0.99586 0.11526
20.5 0.36852 -0.06996 -1.18023 1.23455 0.06814 -0.10720 -1.03990 0.11759
21.0 0.38504 -0.06934 -1.19982 1.25812 0.07051 -0.10841 -1.08475 0.11991
21.5 0.40187 -0.06871 -1.21899 1.28145 0.07285 -0.10962 -1.13042 0.12221
22.0 0.41901 -0.06807 -1.23771 1.30455 0.07516 -0.11082 -1.17689 0.12451
