# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.04598 -0.15030 0.26745 -0.27079 -0.01777 -0.05327 -0.11624 -0.02146
-5.5 0.04172 -0.14984 0.23711 -0.24002 -0.01880 -0.05567 -0.10618 -0.01743
-5.0 0.03786 -0.14937 0.20677 -0.20928 -0.01970 -0.05807 -0.09720 -0.01339
-4.5 0.03441 -0.14888 0.17642 -0.17858 -0.02047 -0.06046 -0.08931 -0.00936
-4.0 0.03137 -0.14839 0.14608 -0.14791 -0.02111 -0.06285 -0.08250 -0.00532
-3.5 0.02874 -0.14788 0.11575 -0.11729 -0.02162 -0.06523 -0.07679 -0.00128
-3.0 0.02652 -0.14737 0.08546 -0.08673 -0.02201 -0.06761 -0.07216 0.00276
-2.5 0.02471 -0.14684 0.05519 -0.05622 -0.02228 -0.06998 -0.06863 0.00679
-2.0 0.02331 -0.14630 0.02498 -0.02577 -0.02243 -0.07234 -0.06620 0.01083
-1.5 0.02233 -0.14575 -0.00519 0.00460 -0.02245 -0.07470 -0.06485 0.01487
-1.0 0.02175 -0.14519 -0.03529 0.03490 -0.02236 -0.07706 -0.06461 0.01890
-0.5 0.02159 -0.14461 -0.06532 0.06513 -0.02216 -0.07941 -0.06546 0.02294
0.0 0.02184 -0.14403 -0.09527 0.09527 -0.02184 -0.08175 -0.06741 0.02697
0.5 0.02250 -0.14344 -0.12513 0.12532 -0.02141 -0.08409 -0.07045 0.03100
1.0 0.02357 -0.14283 -0.15488 0.15527 -0.02087 -0.08642 -0.07458 0.03502
1.5 0.02506 -0.14222 -0.18453 0.18513 -0.02022 -0.08874 -0.07981 0.03905
2.0 0.02696 -0.14159 -0.21407 0.21488 -0.01947 -0.09106 -0.08612 0.04307
2.5 0.02927 -0.14095 -0.24347 0.24452 -0.01862 -0.09337 -0.09353 0.04709
3.0 0.03198 -0.14030 -0.27274 0.27404 -0.01767 -0.09567 -0.10202 0.05110
3.5 0.03511 -0.13964 -0.30187 0.30345 -0.01662 -0.09797 -0.11160 0.05511
4.0 0.03865 -0.13897 -0.33084 0.33273 -0.01548 -0.10026 -0.12226 0.05912
4.5 0.04259 -0.13829 -0.35965 0.36189 -0.01424 -0.10254 -0.13400 0.06312
5.0 0.04694 -0.13760 -0.38829 0.39091 -0.01292 -0.10481 -0.14681 0.06712
5.5 0.05169 -0.13690 -0.41676 0.41979 -0.01151 -0.10708 -0.16069 0.07111
6.0 0.05685 -0.13619 -0.44503 0.44853 -0.01002 -0.10933 -0.17564 0.07510
6.5 0.06241 -0.13547 -0.47310 0.47713 -0.00845 -0.11158 -0.19165 0.07908
7.0 0.06837 -0.13473 -0.50097 0.50557 -0.00680 -0.11382 -0.20872 0.08305
7.5 0.07472 -0.13399 -0.52863 0.53386 -0.00508 -0.11605 -0.22684 0.08702
