xflr5 v6.48

Plane name :        Belloc
Polar name :        VLM2-b00-Inviscid
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   17.000     0.000   1.040837   0.070041   0.000000   0.070041   0.000000  -0.000000  -1.699553   0.000000   0.000000   40.0000     0.0871
   17.500     0.000   1.063821   0.073448   0.000000   0.073448   0.000000  -0.000000  -1.785171   0.000000   0.000000   40.0000     0.0865
   18.000     0.000   1.086451   0.076907   0.000000   0.076907   0.000000  -0.000000  -1.872157   0.000000   0.000000   40.0000     0.0858
   18.500     0.000   1.108724   0.080415   0.000000   0.080415   0.000000  -0.000000  -1.960443   0.000000   0.000000   40.0000     0.0852
   19.000     0.000   1.130632   0.083969   0.000000   0.083969   0.000000  -0.000000  -2.049963   0.000000   0.000000   40.0000     0.0846
   19.500     0.000   1.152174   0.087568   0.000000   0.087568   0.000000  -0.000000  -2.140647   0.000000   0.000000   40.0000     0.0840
   20.000     0.000   1.173343   0.091209   0.000000   0.091209   0.000000  -0.000000  -2.232426   0.000000   0.000000   40.0000     0.0833
   20.500     0.000   1.194135   0.094890   0.000000   0.094890   0.000000  -0.000000  -2.325231   0.000000   0.000000   40.0000     0.0827
   21.000     0.000   1.214547   0.098607   0.000000   0.098607   0.000000   0.000000  -2.418992   0.000000   0.000000   40.0000     0.0821
   21.500     0.000   1.234574   0.102359   0.000000   0.102359   0.000000   0.000000  -2.513638   0.000000   0.000000   40.0000     0.0815
   22.000     0.000   1.254213   0.106143   0.000000   0.106143   0.000000   0.000000  -2.609097   0.000000   0.000000   40.0000     0.0809


