xflr5 v6.48

Plane name :        Belloc
Polar name :        VLM2-b10-Inviscid
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.000    10.000  -0.291732   0.012646   0.000000   0.012646   0.000000  -0.069842  -0.199691  -0.059282  -0.059282   40.0000     0.0591
   -5.500    10.000  -0.260403   0.011538   0.000000   0.011538   0.000000  -0.069011  -0.170875  -0.052220  -0.052220   40.0000     0.0527
   -5.000    10.000  -0.229085   0.010554   0.000000   0.010554   0.000000  -0.068457  -0.144967  -0.045142  -0.045142   40.0000     0.0448
   -4.500    10.000  -0.197788   0.009695   0.000000   0.009695   0.000000  -0.068179  -0.121972  -0.038040  -0.038040   40.0000     0.0345
   -4.000    10.000  -0.166520   0.008960   0.000000   0.008960   0.000000  -0.068175  -0.101895  -0.030911  -0.030911   40.0000     0.0205
   -3.500    10.000  -0.135290   0.008348   0.000000   0.008348   0.000000  -0.068441  -0.084737  -0.023747  -0.023747   40.0000     0.0004
   -3.000    10.000  -0.104109   0.007858   0.000000   0.007858   0.000000  -0.068975  -0.070499  -0.016545  -0.016545   40.0000    -0.0315
   -2.500    10.000  -0.072984   0.007491   0.000000   0.007491   0.000000  -0.069775  -0.059178  -0.009299  -0.009299   40.0000    -0.0900
   -2.000    10.000  -0.041925   0.007244   0.000000   0.007244   0.000000  -0.070836  -0.050770  -0.002002  -0.002002   40.0000    -0.2343
   -1.500    10.000  -0.010940   0.007118   0.000000   0.007118   0.000000  -0.072155  -0.045269   0.005348   0.005348   40.0000    -1.1915
   -1.000    10.000   0.019961   0.007111   0.000000   0.007111   0.000000  -0.073728  -0.042666   0.012758   0.012758   40.0000     0.8119
   -0.500    10.000   0.050771   0.007223   0.000000   0.007223   0.000000  -0.075550  -0.042951   0.020233   0.020233   40.0000     0.3809
    0.000    10.000   0.081480   0.007452   0.000000   0.007452   0.000000  -0.077617  -0.046112   0.027776   0.027776   40.0000     0.2752
    0.500    10.000   0.112079   0.007797   0.000000   0.007797   0.000000  -0.079924  -0.052134   0.035393   0.035393   40.0000     0.2273
    1.000    10.000   0.142561   0.008257   0.000000   0.008257   0.000000  -0.082465  -0.061002   0.043087   0.043087   40.0000     0.1998
    1.500    10.000   0.172917   0.008831   0.000000   0.008831   0.000000  -0.085235  -0.072697   0.050864   0.050864   40.0000     0.1818
    2.000    10.000   0.203139   0.009517   0.000000   0.009517   0.000000  -0.088229  -0.087198   0.058726   0.058726   40.0000     0.1691
    2.500    10.000   0.233219   0.010314   0.000000   0.010314   0.000000  -0.091440  -0.104485   0.066677   0.066677   40.0000     0.1596
    3.000    10.000   0.263148   0.011221   0.000000   0.011221   0.000000  -0.094863  -0.124532   0.074721   0.074721   40.0000     0.1522
    3.500    10.000   0.292918   0.012236   0.000000   0.012236   0.000000  -0.098490  -0.147315   0.082862   0.082862   40.0000     0.1463
    4.000    10.000   0.322522   0.013358   0.000000   0.013358   0.000000  -0.102314  -0.172806   0.091103   0.091103   40.0000     0.1413
    4.500    10.000   0.351952   0.014585   0.000000   0.014585   0.000000  -0.106330  -0.200976   0.099445   0.099445   40.0000     0.1372
    5.000    10.000   0.381200   0.015915   0.000000   0.015915   0.000000  -0.110530  -0.231793   0.107893   0.107893   40.0000     0.1336
    5.500    10.000   0.410258   0.017347   0.000000   0.017347   0.000000  -0.114906  -0.265225   0.116448   0.116448   40.0000     0.1305
    6.000    10.000   0.439119   0.018880   0.000000   0.018880   0.000000  -0.119451  -0.301237   0.125113   0.125113   40.0000     0.1277
    6.500    10.000   0.467776   0.020510   0.000000   0.020510   0.000000  -0.124157  -0.339794   0.133890   0.133890   40.0000     0.1252
    7.000    10.000   0.496220   0.022238   0.000000   0.022238   0.000000  -0.129017  -0.380857   0.142780   0.142780   40.0000     0.1230
    7.500    10.000   0.524446   0.024060   0.000000   0.024060   0.000000  -0.134023  -0.424387   0.151785   0.151785   40.0000     0.1210
    8.000    10.000   0.552446   0.025976   0.000000   0.025976   0.000000  -0.139166  -0.470344   0.160906   0.160906   40.0000     0.1191
    8.500    10.000   0.580212   0.027982   0.000000   0.027982   0.000000  -0.144437  -0.518684   0.170143   0.170143   40.0000     0.1174
    9.000    10.000   0.607739   0.030077   0.000000   0.030077   0.000000  -0.149830  -0.569364   0.179499   0.179499   40.0000     0.1158
    9.500    10.000   0.635019   0.032260   0.000000   0.032260   0.000000  -0.155334  -0.622338   0.188972   0.188972   40.0000     0.1143
   10.000    10.000   0.662045   0.034528   0.000000   0.034528   0.000000  -0.160942  -0.677560   0.198564   0.198564   40.0000     0.1129
   10.500    10.000   0.688811   0.036878   0.000000   0.036878   0.000000  -0.166645  -0.734981   0.208274   0.208274   40.0000     0.1116
   11.000    10.000   0.715311   0.039310   0.000000   0.039310   0.000000  -0.172434  -0.794552   0.218102   0.218102   40.0000     0.1103
   11.500    10.000   0.741538   0.041821   0.000000   0.041821   0.000000  -0.178301  -0.856222   0.228046   0.228046   40.0000     0.1091
   12.000    10.000   0.767486   0.044409   0.000000   0.044409   0.000000  -0.184235  -0.919939   0.238107   0.238107   40.0000     0.1080
   12.500    10.000   0.793148   0.047071   0.000000   0.047071   0.000000  -0.190230  -0.985649   0.248282   0.248282   40.0000     0.1069
   13.000    10.000   0.818520   0.049807   0.000000   0.049807   0.000000  -0.196275  -1.053297   0.258571   0.258571   40.0000     0.1059
   13.500    10.000   0.843594   0.052612   0.000000   0.052612   0.000000  -0.202361  -1.122829   0.268971   0.268971   40.0000     0.1049
   14.000    10.000   0.868366   0.055486   0.000000   0.055486   0.000000  -0.208480  -1.194187   0.279480   0.279480   40.0000     0.1039
   14.500    10.000   0.892829   0.058425   0.000000   0.058425   0.000000  -0.214623  -1.267313   0.290097   0.290097   40.0000     0.1030
   15.000    10.000   0.916977   0.061428   0.000000   0.061428   0.000000  -0.220780  -1.342149   0.300819   0.300819   40.0000     0.1021
   15.500    10.000   0.940807   0.064493   0.000000   0.064493   0.000000  -0.226944  -1.418634   0.311642   0.311642   40.0000     0.1012
   16.000    10.000   0.964311   0.067617   0.000000   0.067617   0.000000  -0.233104  -1.496708   0.322563   0.322563   40.0000     0.1003
   16.500    10.000   0.987486   0.070797   0.000000   0.070797   0.000000  -0.239253  -1.576308   0.333580   0.333580   40.0000     0.0995
   17.000    10.000   1.010325   0.074033   0.000000   0.074033   0.000000  -0.245382  -1.657373   0.344687   0.344687   40.0000     0.0987
   17.500    10.000   1.032825   0.077320   0.000000   0.077320   0.000000  -0.251481  -1.739839   0.355883   0.355883   40.0000     0.0979
   18.000    10.000   1.054979   0.080657   0.000000   0.080657   0.000000  -0.257542  -1.823641   0.367162   0.367162   40.0000     0.0971
   18.500    10.000   1.076784   0.084042   0.000000   0.084042   0.000000  -0.263558  -1.908716   0.378519   0.378519   40.0000     0.0963
   19.000    10.000   1.098234   0.087472   0.000000   0.087472   0.000000  -0.269519  -1.994996   0.389951   0.389951   40.0000     0.0956
   19.500    10.000   1.119326   0.090945   0.000000   0.090945   0.000000  -0.275417  -2.082416   0.401452   0.401452   40.0000     0.0948
   20.000    10.000   1.140054   0.094458   0.000000   0.094458   0.000000  -0.281245  -2.170909   0.413018   0.413018   40.0000     0.0941
   20.500    10.000   1.160416   0.098009   0.000000   0.098009   0.000000  -0.286993  -2.260408   0.424642   0.424642   40.0000     0.0934
   21.000    10.000   1.180405   0.101596   0.000000   0.101596   0.000000  -0.292656  -2.350845   0.436319   0.436319   40.0000     0.0927
   21.500    10.000   1.200019   0.105215   0.000000   0.105215   0.000000  -0.298224  -2.442151   0.448043   0.448043   40.0000     0.0920
   22.000    10.000   1.219253   0.108866   0.000000   0.108866   0.000000  -0.303690  -2.534257   0.459808   0.459808   40.0000     0.0913


