xflr5 v6.48

Plane name :        Belloc
Polar name :        VLM2-b15-Inviscid
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.000    15.000  -0.292609   0.021022   0.000000   0.021022   0.000000  -0.116117  -0.242738  -0.089656  -0.089656   40.0000     0.0145
   -5.500    15.000  -0.262197   0.019923   0.000000   0.019923   0.000000  -0.114822  -0.214118  -0.079149  -0.079149   40.0000     0.0035
   -5.000    15.000  -0.231794   0.018945   0.000000   0.018945   0.000000  -0.113925  -0.188289  -0.068617  -0.068617   40.0000    -0.0102
   -4.500    15.000  -0.201408   0.018087   0.000000   0.018087   0.000000  -0.113422  -0.165259  -0.058053  -0.058053   40.0000    -0.0280
   -4.000    15.000  -0.171049   0.017348   0.000000   0.017348   0.000000  -0.113311  -0.145030  -0.047448  -0.047448   40.0000    -0.0518
   -3.500    15.000  -0.140726   0.016728   0.000000   0.016728   0.000000  -0.113588  -0.127607  -0.036796  -0.036796   40.0000    -0.0857
   -3.000    15.000  -0.110446   0.016227   0.000000   0.016227   0.000000  -0.114250  -0.112988  -0.026087  -0.026087   40.0000    -0.1380
   -2.500    15.000  -0.080220   0.015842   0.000000   0.015842   0.000000  -0.115291  -0.101173  -0.015315  -0.015315   40.0000    -0.2291
   -2.000    15.000  -0.050056   0.015575   0.000000   0.015575   0.000000  -0.116707  -0.092158  -0.004473  -0.004473   40.0000    -0.4291
   -1.500    15.000  -0.019962   0.015423   0.000000   0.015423   0.000000  -0.118493  -0.085938   0.006448   0.006448   40.0000    -1.2300
   -1.000    15.000   0.010053   0.015387   0.000000   0.015387   0.000000  -0.120641  -0.082505   0.017453   0.017453   40.0000     2.7444
   -0.500    15.000   0.039981   0.015464   0.000000   0.015464   0.000000  -0.123147  -0.081849   0.028550   0.028550   40.0000     0.7652
    0.000    15.000   0.069813   0.015655   0.000000   0.015655   0.000000  -0.126004  -0.083959   0.039746   0.039746   40.0000     0.4807
    0.500    15.000   0.099540   0.015958   0.000000   0.015958   0.000000  -0.129203  -0.088823   0.051045   0.051045   40.0000     0.3666
    1.000    15.000   0.129156   0.016371   0.000000   0.016371   0.000000  -0.132739  -0.096424   0.062456   0.062456   40.0000     0.3049
    1.500    15.000   0.158650   0.016895   0.000000   0.016895   0.000000  -0.136603  -0.106745   0.073983   0.073983   40.0000     0.2663
    2.000    15.000   0.188017   0.017527   0.000000   0.017527   0.000000  -0.140786  -0.119769   0.085631   0.085631   40.0000     0.2397
    2.500    15.000   0.217246   0.018266   0.000000   0.018266   0.000000  -0.145281  -0.135474   0.097408   0.097408   40.0000     0.2202
    3.000    15.000   0.246332   0.019111   0.000000   0.019111   0.000000  -0.150077  -0.153838   0.109316   0.109316   40.0000     0.2053
    3.500    15.000   0.275265   0.020060   0.000000   0.020060   0.000000  -0.155166  -0.174836   0.121361   0.121361   40.0000     0.1936
    4.000    15.000   0.304038   0.021112   0.000000   0.021112   0.000000  -0.160539  -0.198443   0.133548   0.133548   40.0000     0.1840
    4.500    15.000   0.332644   0.022266   0.000000   0.022266   0.000000  -0.166185  -0.224631   0.145880   0.145880   40.0000     0.1761
    5.000    15.000   0.361074   0.023520   0.000000   0.023520   0.000000  -0.172093  -0.253370   0.158361   0.158361   40.0000     0.1694
    5.500    15.000   0.389322   0.024872   0.000000   0.024872   0.000000  -0.178254  -0.284629   0.170995   0.170995   40.0000     0.1636
    6.000    15.000   0.417381   0.026320   0.000000   0.026320   0.000000  -0.184657  -0.318376   0.183784   0.183784   40.0000     0.1586
    6.500    15.000   0.445242   0.027864   0.000000   0.027864   0.000000  -0.191290  -0.354576   0.196731   0.196731   40.0000     0.1542
    7.000    15.000   0.472899   0.029501   0.000000   0.029501   0.000000  -0.198143  -0.393194   0.209839   0.209839   40.0000     0.1503
    7.500    15.000   0.500345   0.031230   0.000000   0.031230   0.000000  -0.205204  -0.434191   0.223110   0.223110   40.0000     0.1468
    8.000    15.000   0.527573   0.033048   0.000000   0.033048   0.000000  -0.212460  -0.477530   0.236545   0.236545   40.0000     0.1436
    8.500    15.000   0.554575   0.034954   0.000000   0.034954   0.000000  -0.219901  -0.523168   0.250146   0.250146   40.0000     0.1408
    9.000    15.000   0.581346   0.036946   0.000000   0.036946   0.000000  -0.227514  -0.571066   0.263912   0.263912   40.0000     0.1381
    9.500    15.000   0.607879   0.039022   0.000000   0.039022   0.000000  -0.235287  -0.621179   0.277846   0.277846   40.0000     0.1357
   10.000    15.000   0.634167   0.041180   0.000000   0.041180   0.000000  -0.243208  -0.673462   0.291946   0.291946   40.0000     0.1335
   10.500    15.000   0.660203   0.043419   0.000000   0.043419   0.000000  -0.251264  -0.727870   0.306213   0.306213   40.0000     0.1314
   11.000    15.000   0.685982   0.045735   0.000000   0.045735   0.000000  -0.259443  -0.784355   0.320646   0.320646   40.0000     0.1295
   11.500    15.000   0.711497   0.048128   0.000000   0.048128   0.000000  -0.267732  -0.842869   0.335244   0.335244   40.0000     0.1277
   12.000    15.000   0.736743   0.050595   0.000000   0.050595   0.000000  -0.276118  -0.903362   0.350005   0.350005   40.0000     0.1260
