xflr5 v6.48

Plane name :        Belloc
Polar name :        VLM2-b15-Inviscid
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   12.500    15.000   0.761712   0.053134   0.000000   0.053134   0.000000  -0.284588  -0.965782   0.364928   0.364928   40.0000     0.1244
   13.000    15.000   0.786400   0.055743   0.000000   0.055743   0.000000  -0.293130  -1.030078   0.380009   0.380009   40.0000     0.1229
   13.500    15.000   0.810800   0.058420   0.000000   0.058420   0.000000  -0.301732  -1.096196   0.395247   0.395247   40.0000     0.1215
   14.000    15.000   0.834907   0.061162   0.000000   0.061162   0.000000  -0.310379  -1.164083   0.410639   0.410639   40.0000     0.1201
   14.500    15.000   0.858716   0.063968   0.000000   0.063968   0.000000  -0.319059  -1.233681   0.426181   0.426181   40.0000     0.1189
   15.000    15.000   0.882220   0.066835   0.000000   0.066835   0.000000  -0.327760  -1.304936   0.441868   0.441868   40.0000     0.1176
   15.500    15.000   0.905415   0.069761   0.000000   0.069761   0.000000  -0.336468  -1.377789   0.457698   0.457698   40.0000     0.1164
   16.000    15.000   0.928296   0.072744   0.000000   0.072744   0.000000  -0.345172  -1.452183   0.473665   0.473665   40.0000     0.1153
   16.500    15.000   0.950856   0.075782   0.000000   0.075782   0.000000  -0.353858  -1.528058   0.489764   0.489764   40.0000     0.1142
   17.000    15.000   0.973092   0.078872   0.000000   0.078872   0.000000  -0.362514  -1.605354   0.505991   0.505991   40.0000     0.1132
   17.500    15.000   0.994999   0.082013   0.000000   0.082013   0.000000  -0.371127  -1.684011   0.522338   0.522338   40.0000     0.1122
   18.000    15.000   1.016571   0.085201   0.000000   0.085201   0.000000  -0.379686  -1.763966   0.538800   0.538800   40.0000     0.1112
   18.500    15.000   1.037804   0.088434   0.000000   0.088434   0.000000  -0.388178  -1.845158   0.555371   0.555371   40.0000     0.1102
   19.000    15.000   1.058694   0.091711   0.000000   0.091711   0.000000  -0.396592  -1.927524   0.572044   0.572044   40.0000     0.1093
   19.500    15.000   1.079236   0.095029   0.000000   0.095029   0.000000  -0.404915  -2.011000   0.588812   0.588812   40.0000     0.1084
   20.000    15.000   1.099426   0.098386   0.000000   0.098386   0.000000  -0.413135  -2.095521   0.605666   0.605666   40.0000     0.1076
   20.500    15.000   1.119259   0.101779   0.000000   0.101779   0.000000  -0.421243  -2.181024   0.622600   0.622600   40.0000     0.1067
   21.000    15.000   1.138732   0.105205   0.000000   0.105205   0.000000  -0.429226  -2.267444   0.639604   0.639604   40.0000     0.1059
   21.500    15.000   1.157841   0.108664   0.000000   0.108664   0.000000  -0.437074  -2.354713   0.656672   0.656672   40.0000     0.1051
   22.000    15.000   1.176581   0.112151   0.000000   0.112151   0.000000  -0.444775  -2.442767   0.673793   0.673793   40.0000     0.1044


