xflr5 v6.48

Plane name :        Belloc
Polar name :        VLM2-b05-Inviscid
Freestream speed :  40.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -6.000     5.000  -0.291164   0.007517   0.000000   0.007517   0.000000  -0.032571  -0.172404  -0.029493  -0.029493   40.0000     0.0874
   -5.500     5.000  -0.259274   0.006402   0.000000   0.006402   0.000000  -0.032165  -0.143472  -0.025945  -0.025945   40.0000     0.0842
   -5.000     5.000  -0.227396   0.005415   0.000000   0.005415   0.000000  -0.031902  -0.117519  -0.022389  -0.022389   40.0000     0.0802
   -4.500     5.000  -0.195541   0.004554   0.000000   0.004554   0.000000  -0.031780  -0.094550  -0.018821  -0.018821   40.0000     0.0751
   -4.000     5.000  -0.163716   0.003821   0.000000   0.003821   0.000000  -0.031798  -0.074570  -0.015238  -0.015238   40.0000     0.0683
   -3.500     5.000  -0.131932   0.003213   0.000000   0.003213   0.000000  -0.031956  -0.057581  -0.011639  -0.011639   40.0000     0.0585
   -3.000     5.000  -0.100198   0.002731   0.000000   0.002731   0.000000  -0.032252  -0.043582  -0.008019  -0.008019   40.0000     0.0428
   -2.500     5.000  -0.068523   0.002373   0.000000   0.002373   0.000000  -0.032684  -0.032570  -0.004376  -0.004376   40.0000     0.0132
   -2.000     5.000  -0.036916   0.002139   0.000000   0.002139   0.000000  -0.033250  -0.024540  -0.000708  -0.000708   40.0000    -0.0659
   -1.500     5.000  -0.005386   0.002028   0.000000   0.002028   0.000000  -0.033949  -0.019487   0.002988   0.002988   40.0000    -1.0641
   -1.000     5.000   0.026058   0.002039   0.000000   0.002039   0.000000  -0.034779  -0.017401   0.006715   0.006715   40.0000     0.3448
   -0.500     5.000   0.057407   0.002171   0.000000   0.002171   0.000000  -0.035736  -0.018271   0.010475   0.010475   40.0000     0.2124
    0.000     5.000   0.088653   0.002423   0.000000   0.002423   0.000000  -0.036819  -0.022085   0.014270   0.014270   40.0000     0.1732
    0.500     5.000   0.119787   0.002794   0.000000   0.002794   0.000000  -0.038026  -0.028827   0.018104   0.018104   40.0000     0.1542
    1.000     5.000   0.150799   0.003281   0.000000   0.003281   0.000000  -0.039353  -0.038481   0.021977   0.021977   40.0000     0.1429
    1.500     5.000   0.181683   0.003885   0.000000   0.003885   0.000000  -0.040798  -0.051027   0.025892   0.025892   40.0000     0.1352
    2.000     5.000   0.212428   0.004604   0.000000   0.004604   0.000000  -0.042358  -0.066445   0.029852   0.029852   40.0000     0.1297
    2.500     5.000   0.243028   0.005437   0.000000   0.005437   0.000000  -0.044029  -0.084712   0.033858   0.033858   40.0000     0.1254
    3.000     5.000   0.273473   0.006381   0.000000   0.006381   0.000000  -0.045809  -0.105803   0.037912   0.037912   40.0000     0.1220
    3.500     5.000   0.303756   0.007436   0.000000   0.007436   0.000000  -0.047695  -0.129692   0.042016   0.042016   40.0000     0.1191
    4.000     5.000   0.333869   0.008600   0.000000   0.008600   0.000000  -0.049682  -0.156351   0.046171   0.046171   40.0000     0.1167
    4.500     5.000   0.363803   0.009871   0.000000   0.009871   0.000000  -0.051767  -0.185748   0.050378   0.050378   40.0000     0.1146
    5.000     5.000   0.393551   0.011248   0.000000   0.011248   0.000000  -0.053947  -0.217852   0.054641   0.054641   40.0000     0.1128
    5.500     5.000   0.423105   0.012729   0.000000   0.012729   0.000000  -0.056217  -0.252629   0.058958   0.058958   40.0000     0.1111
    6.000     5.000   0.452458   0.014312   0.000000   0.014312   0.000000  -0.058575  -0.290044   0.063333   0.063333   40.0000     0.1096
    6.500     5.000   0.481601   0.015996   0.000000   0.015996   0.000000  -0.061015  -0.330060   0.067765   0.067765   40.0000     0.1082
    7.000     5.000   0.510528   0.017778   0.000000   0.017778   0.000000  -0.063535  -0.372637   0.072255   0.072255   40.0000     0.1070
    7.500     5.000   0.539232   0.019658   0.000000   0.019658   0.000000  -0.066129  -0.417735   0.076806   0.076806   40.0000     0.1058
    8.000     5.000   0.567704   0.021632   0.000000   0.021632   0.000000  -0.068794  -0.465311   0.081416   0.081416   40.0000     0.1047
    8.500     5.000   0.595938   0.023699   0.000000   0.023699   0.000000  -0.071526  -0.515323   0.086086   0.086086   40.0000     0.1036
    9.000     5.000   0.623927   0.025857   0.000000   0.025857   0.000000  -0.074319  -0.567725   0.090818   0.090818   40.0000     0.1026
    9.500     5.000   0.651664   0.028105   0.000000   0.028105   0.000000  -0.077171  -0.622470   0.095611   0.095611   40.0000     0.1016
   10.000     5.000   0.679142   0.030439   0.000000   0.030439   0.000000  -0.080075  -0.679510   0.100465   0.100465   40.0000     0.1007
   10.500     5.000   0.706355   0.032858   0.000000   0.032858   0.000000  -0.083029  -0.738795   0.105380   0.105380   40.0000     0.0998
   11.000     5.000   0.733296   0.035360   0.000000   0.035360   0.000000  -0.086027  -0.800275   0.110356   0.110356   40.0000     0.0989
   11.500     5.000   0.759959   0.037943   0.000000   0.037943   0.000000  -0.089065  -0.863897   0.115393   0.115393   40.0000     0.0981
   12.000     5.000   0.786336   0.040605   0.000000   0.040605   0.000000  -0.092138  -0.929608   0.120490   0.120490   40.0000     0.0973
   12.500     5.000   0.812423   0.043342   0.000000   0.043342   0.000000  -0.095242  -0.997352   0.125647   0.125647   40.0000     0.0965
   13.000     5.000   0.838213   0.046154   0.000000   0.046154   0.000000  -0.098372  -1.067075   0.130862   0.130862   40.0000     0.0957
   13.500     5.000   0.863700   0.049038   0.000000   0.049038   0.000000  -0.101524  -1.138718   0.136136   0.136136   40.0000     0.0950
   14.000     5.000   0.888878   0.051992   0.000000   0.051992   0.000000  -0.104692  -1.212223   0.141467   0.141467   40.0000     0.0942
   14.500     5.000   0.913742   0.055013   0.000000   0.055013   0.000000  -0.107873  -1.287531   0.146853   0.146853   40.0000     0.0935
   15.000     5.000   0.938285   0.058099   0.000000   0.058099   0.000000  -0.111062  -1.364581   0.152294   0.152294   40.0000     0.0928
   15.500     5.000   0.962502   0.061248   0.000000   0.061248   0.000000  -0.114254  -1.443312   0.157787   0.157787   40.0000     0.0921
   16.000     5.000   0.986389   0.064457   0.000000   0.064457   0.000000  -0.117444  -1.523662   0.163332   0.163332   40.0000     0.0914
   16.500     5.000   1.009939   0.067725   0.000000   0.067725   0.000000  -0.120629  -1.605566   0.168927   0.168927   40.0000     0.0907
   17.000     5.000   1.033148   0.071049   0.000000   0.071049   0.000000  -0.123803  -1.688961   0.174570   0.174570   40.0000     0.0900
   17.500     5.000   1.056010   0.074426   0.000000   0.074426   0.000000  -0.126962  -1.773782   0.180258   0.180258   40.0000     0.0893
   18.000     5.000   1.078520   0.077854   0.000000   0.077854   0.000000  -0.130103  -1.859963   0.185991   0.185991   40.0000     0.0886
   18.500     5.000   1.100675   0.081331   0.000000   0.081331   0.000000  -0.133219  -1.947438   0.191764   0.191764   40.0000     0.0880
   19.000     5.000   1.122468   0.084854   0.000000   0.084854   0.000000  -0.136308  -2.036139   0.197577   0.197577   40.0000     0.0873
   19.500     5.000   1.143896   0.088422   0.000000   0.088422   0.000000  -0.139365  -2.125997   0.203426   0.203426   40.0000     0.0867
   20.000     5.000   1.164954   0.092030   0.000000   0.092030   0.000000  -0.142386  -2.216946   0.209309   0.209309   40.0000     0.0860
   20.500     5.000   1.185638   0.095678   0.000000   0.095678   0.000000  -0.145366  -2.308915   0.215224   0.215224   40.0000     0.0854
   21.000     5.000   1.205944   0.099363   0.000000   0.099363   0.000000  -0.148302  -2.401836   0.221166   0.221166   40.0000     0.0848
   21.500     5.000   1.225867   0.103081   0.000000   0.103081   0.000000  -0.151190  -2.495637   0.227134   0.227134   40.0000     0.0841
   22.000     5.000   1.245404   0.106832   0.000000   0.106832   0.000000  -0.154025  -2.590249   0.233124   0.233124   40.0000     0.0835


